"","ORDER"
"1","Netuma thalassina"
"2","Xenentodon cancila"
"3","Heteropneustes fossilis"
"4","Badis badis"
"5","Bungarus fasciatus"
"6","Naja naja"
"7","Felis chaus"
"8","Prionailurus viverrinus"
"9","Haliaeetus leucogaster"
"10","Spilornis cheela"
"11","Alcedo atthis"
"12","Varanus bengalensis"
"13","Channa striata"
"14","Duttaphrynus scaber"
"15","Fejervarya orissaensis"
"16","Minervarya agricola"
"17","Hoplobatrachus crassus"
"18","Macrognathus pancalus"
"19","Mastacembelus armatus"
"20","Trichogaster lalius"
"21","Trichogaster fasciata"
"22","Lissemys punctata"
"23","Parambassis baculis"
"24","Aplocheilus panchax"
"25","Hydrovatus confertus"
"26","Minervarya pierrei"
"27","Uperodon systoma"
"28","Enhydris enhydris"
"29","Fowlea piscator"
"30","Coracias benghalensis"
"31","Arcella discoides"
"32","Centropyxis aculeata"
"33","Brachionus calyciflorus"
"34","Brachionus forficula"
"35","Keratella lenzi"
"36","Lecane aculeata"
"37","Lecane bulla"
"38","Asplanchna brightwelli"
"39","Mesocyclops leukarti"
"40","Scapholeberis kingi"
"41","Macrothrix spinosa"
"42","Macrothrix goeldi"
"43","Alona pulchella"
"44","Coronatella rectangula"
"45","Tachybaptus ruficollis"
"46","Centropus bengalensis"
"47","Gallinula chloropus"
"48","Porphyrio poliocephalus"
"49","Amaurornis phoenicurus"
"50","Vanellus indicus"
"51","Hydrophasianus chirurgus"
"52","Mycteria leucocephala"
"53","Ardea purpurea"
"54","Ardea alba"
"55","Nycticorax nycticorax"
"56","Ceryle rudis"
"57","Oriolus kundoo"
"58","Oriolus xanthornus"
"59","Acridotheres ginginianus"
"60","Motacilla citreola"
"61","Carp sp."
"62","Channa punctata"
"63","Mystus tengara"
"64","Mystus vittatus"
"65","Glossogobius giuris"
"66","Oreochromis niloticus"
"67","Duttaphrynus melanostictus"
"68","Hoplobatrachus tigerinus"
"69","Channa gachua"
"70","Notopterus notopterus"
"71","Diplonychus annulatus"
"72","Diplonychus rusticus"
"73","Aquarius adelaides"
"74","Limnogonus fossarum"
"75","Laccotrephes griseus"
"76","Laccotrephes ruber"
"77","Ranatra elongata"
"78","Ranatra filiformis"
"79","Ranatra varipes"
"80","Anisops campbelli"
"81","Euphlyctis cyanophlyctis"
"82","Big fish juveniles"
"83","Puntius vittatus"
"84","Rasbora daniconius"
"85","Pethia phutunio"
"86","Herbaceous aquatic plants"
"87","Macrobrachium malcolmsonii"
"88","Macrobrachium rosenbergii"
"89","Macrobrachium rude"
"90","Macrobrachium equidens"
"91","Polypedates maculatus"
"92","Odonata sp."
"93","Detritus"
"94","Mosquito larvae"
"95","Green Algae"
"96","Dendrocygna javanica"
"97","Nettapus coromandelianus"
"98","Anas poecilorhyncha"
"99","Himantopus himantopus"
"100","Metopidius indicus"
"101","Anastomus oscitans"
"102","Microcarbo niger"
"103","Ardea intermedia"
"104","Egretta garzetta"
"105","Bubulcus ibis"
"106","Ardeola grayii"
"107","Halcyon smyrnensis"
"108","Merops orientalis"
"109","Hirundo rustica"
