"","basal_removed_each","num_lost_each","num_remain_tot","num_removed_tot","num_lost_tot","prop_remain","prop_removed","name_lost","degree_type","nodes_susc","nontarget_lost_each","cum_nontarget_lost","Y","prop_target_removed"
"1",NA,0,124,0,0,1,0,"","high",121,0,0,1,0
"2","Aquarius adelaides",1,123,1,1,0.991935483870968,0.00806451612903226,"Aquarius adelaides","high",121,0,0,1,0.00806451612903226
"3","Limnogonus fossarum",1,122,2,2,0.983870967741935,0.0161290322580645,"Limnogonus fossarum","high",121,0,0,1,0.0161290322580645
"4","Laccotrephes griseus",1,121,3,3,0.975806451612903,0.0241935483870968,"Laccotrephes griseus","high",121,0,0,1,0.0241935483870968
"5","Laccotrephes ruber",1,120,4,4,0.967741935483871,0.032258064516129,"Laccotrephes ruber","high",121,0,0,1,0.032258064516129
"6","Anisops campbelli",1,119,5,5,0.959677419354839,0.0403225806451613,"Anisops campbelli","high",121,0,0,1,0.0403225806451613
"7","Diplonychus rusticus",1,118,6,6,0.951612903225806,0.0483870967741935,"Diplonychus rusticus","high",121,0,0,1,0.0483870967741935
"8","Ranatra elongata",1,117,7,7,0.943548387096774,0.0564516129032258,"Ranatra elongata","high",121,0,0,1,0.0564516129032258
"9","Ranatra filiformis",1,116,8,8,0.935483870967742,0.0645161290322581,"Ranatra filiformis","high",121,0,0,1,0.0645161290322581
"10","Ranatra varipes",1,115,9,9,0.92741935483871,0.0725806451612903,"Ranatra varipes","high",121,0,0,1,0.0725806451612903
"11","Diplonychus annulatus",1,114,10,10,0.919354838709677,0.0806451612903226,"Diplonychus annulatus","high",121,0,0,1,0.0806451612903226
"12","Hydrovatus confertus",12,102,11,22,0.82258064516129,0.0887096774193548,"Fejervarya orissaensis;Euphlyctis cyanophlyctis;Aplocheilus panchax;Hydrovatus confertus;Sphaerotheca breviceps;Sphaerotheca rolandae;Microhyla mymensinghensis;Uperodon systoma;Hylarana tytleri;Polypedates maculatus;Hirundo rustica;Motacilla citreola","high",121,11,11,0.909090909090909,0.0887096774193548
"13","Trichogaster lalius",1,101,12,23,0.814516129032258,0.0967741935483871,"Trichogaster lalius","high",121,0,11,0.909090909090909,0.0967741935483871
"14","Trichogaster fasciata",1,100,13,24,0.806451612903226,0.104838709677419,"Trichogaster fasciata","high",121,0,11,0.909090909090909,0.104838709677419
"15","Big fish juveniles",1,99,14,25,0.798387096774194,0.112903225806452,"Big fish juveniles","high",121,0,11,0.909090909090909,0.112903225806452
"16","Badis badis",1,98,15,26,0.790322580645161,0.120967741935484,"Badis badis","high",121,0,11,0.909090909090909,0.120967741935484
"17","Puntius vittatus",1,97,16,27,0.782258064516129,0.129032258064516,"Puntius vittatus","high",121,0,11,0.909090909090909,0.129032258064516
"18","Rasbora daniconius",1,96,17,28,0.774193548387097,0.137096774193548,"Rasbora daniconius","high",121,0,11,0.909090909090909,0.137096774193548
"19","Pethia phutunio",1,95,18,29,0.766129032258065,0.145161290322581,"Pethia phutunio","high",121,0,11,0.909090909090909,0.145161290322581
"20","Parambassis baculis",2,93,19,31,0.75,0.153225806451613,"Parambassis baculis;Bubulcus ibis","high",121,1,12,0.900826446280992,0.153225806451613
"21","Herbaceous aquatic plants",1,92,20,32,0.741935483870968,0.161290322580645,"Herbaceous aquatic plants","high",121,0,12,0.900826446280992,0.161290322580645
"22","Detritus",26,66,21,58,0.532258064516129,0.169354838709677,"Duttaphrynus melanostictus;Duttaphrynus scaber;Minervarya agricola;Pila globosa;Filopaludina bengalensis;Idiopoma dissimilis;Melanoides tuberculata;Tarebia lineata;Bithynia pulchella;Gabbia orcula;Radix rufescens;Racesina luteola;Gyraulus barrackporensis;Gyraulus convexiusculus;Gyraulus euphraticus;Indoplanorbis exustus;Macrobrachium malcolmsonii;Macrobrachium rosenbergii;Minervarya pierrei;Enhydris enhydris;Detritus;Porphyrio poliocephalus;Amaurornis phoenicurus;Himantopus himantopus;Vanellus indicus;Metopidius indicus","high",121,25,37,0.694214876033058,0.169354838709677
