"","basal_removed_each","num_lost_each","num_remain_tot","num_removed_tot","num_lost_tot","prop_remain","prop_removed","name_lost","degree_type","nodes_susc","nontarget_lost_each","cum_nontarget_lost","Y","prop_target_removed"
"1",NA,0,148,0,0,1,0,"","high",145,0,0,1,0
"2","Aquarius adelaides",1,147,1,1,0.993243243243243,0.00675675675675676,"Aquarius adelaides","high",145,0,0,1,0.00675675675675676
"3","Limnogonus fossarum",1,146,2,2,0.986486486486487,0.0135135135135135,"Limnogonus fossarum","high",145,0,0,1,0.0135135135135135
"4","Laccotrephes griseus",1,145,3,3,0.97972972972973,0.0202702702702703,"Laccotrephes griseus","high",145,0,0,1,0.0202702702702703
"5","Laccotrephes ruber",1,144,4,4,0.972972972972973,0.027027027027027,"Laccotrephes ruber","high",145,0,0,1,0.027027027027027
"6","Anisops campbelli",1,143,5,5,0.966216216216216,0.0337837837837838,"Anisops campbelli","high",145,0,0,1,0.0337837837837838
"7","Diplonychus rusticus",1,142,6,6,0.959459459459459,0.0405405405405405,"Diplonychus rusticus","high",145,0,0,1,0.0405405405405405
"8","Ranatra elongata",1,141,7,7,0.952702702702703,0.0472972972972973,"Ranatra elongata","high",145,0,0,1,0.0472972972972973
"9","Ranatra filiformis",1,140,8,8,0.945945945945946,0.0540540540540541,"Ranatra filiformis","high",145,0,0,1,0.0540540540540541
"10","Ranatra varipes",1,139,9,9,0.939189189189189,0.0608108108108108,"Ranatra varipes","high",145,0,0,1,0.0608108108108108
"11","Diplonychus annulatus",1,138,10,10,0.932432432432432,0.0675675675675676,"Diplonychus annulatus","high",145,0,0,1,0.0675675675675676
"12","Hydrovatus confertus",9,129,11,19,0.871621621621622,0.0743243243243243,"Euphlyctis cyanophlyctis;Aplocheilus panchax;Hydrovatus confertus;Microhyla mymensinghensis;Polypedates maculatus;Charadrius dubius;Hirundo rustica;Motacilla citreola;Motacilla tschutschensis","high",145,8,8,0.944827586206897,0.0743243243243243
"13","Trichogaster lalius",1,128,12,20,0.864864864864865,0.0810810810810811,"Trichogaster lalius","high",145,0,8,0.944827586206897,0.0810810810810811
"14","Big fish juveniles",1,127,13,21,0.858108108108108,0.0878378378378378,"Big fish juveniles","high",145,0,8,0.944827586206897,0.0878378378378378
"15","Trichogaster fasciata",1,126,14,22,0.851351351351351,0.0945945945945946,"Trichogaster fasciata","high",145,0,8,0.944827586206897,0.0945945945945946
"16","Badis badis",1,125,15,23,0.844594594594595,0.101351351351351,"Badis badis","high",145,0,8,0.944827586206897,0.101351351351351
