"","basal_removed_each","num_lost_each","num_remain_tot","num_removed_tot","num_lost_tot","prop_remain","prop_removed","name_lost","degree_type","nodes_susc","nontarget_lost_each","cum_nontarget_lost","Y","prop_target_removed"
"1",NA,0,122,0,0,1,0,"","high",119,0,0,1,0
"2","Aquarius adelaides",1,121,1,1,0.991803278688525,0.00819672131147541,"Aquarius adelaides","high",119,0,0,1,0.00819672131147541
"3","Limnogonus fossarum",1,120,2,2,0.983606557377049,0.0163934426229508,"Limnogonus fossarum","high",119,0,0,1,0.0163934426229508
"4","Laccotrephes griseus",1,119,3,3,0.975409836065574,0.0245901639344262,"Laccotrephes griseus","high",119,0,0,1,0.0245901639344262
"5","Laccotrephes ruber",1,118,4,4,0.967213114754098,0.0327868852459016,"Laccotrephes ruber","high",119,0,0,1,0.0327868852459016
"6","Anisops campbelli",1,117,5,5,0.959016393442623,0.040983606557377,"Anisops campbelli","high",119,0,0,1,0.040983606557377
"7","Diplonychus rusticus",1,116,6,6,0.950819672131147,0.0491803278688525,"Diplonychus rusticus","high",119,0,0,1,0.0491803278688525
"8","Ranatra elongata",1,115,7,7,0.942622950819672,0.0573770491803279,"Ranatra elongata","high",119,0,0,1,0.0573770491803279
"9","Ranatra filiformis",1,114,8,8,0.934426229508197,0.0655737704918033,"Ranatra filiformis","high",119,0,0,1,0.0655737704918033
"10","Ranatra varipes",1,113,9,9,0.926229508196721,0.0737704918032787,"Ranatra varipes","high",119,0,0,1,0.0737704918032787
"11","Diplonychus annulatus",1,112,10,10,0.918032786885246,0.0819672131147541,"Diplonychus annulatus","high",119,0,0,1,0.0819672131147541
"12","Hydrovatus confertus",8,104,11,18,0.852459016393443,0.0901639344262295,"Fejervarya orissaensis;Euphlyctis cyanophlyctis;Aplocheilus panchax;Hydrovatus confertus;Uperodon systoma;Polypedates maculatus;Hirundo rustica;Motacilla citreola","high",119,7,7,0.941176470588235,0.0901639344262295
"13","Herbaceous aquatic plants",2,102,12,20,0.836065573770492,0.0983606557377049,"Herbaceous aquatic plants;Anas poecilorhyncha","high",119,1,8,0.932773109243697,0.0983606557377049
"14","Trichogaster lalius",1,101,13,21,0.827868852459016,0.10655737704918,"Trichogaster lalius","high",119,0,8,0.932773109243697,0.10655737704918
"15","Trichogaster fasciata",1,100,14,22,0.819672131147541,0.114754098360656,"Trichogaster fasciata","high",119,0,8,0.932773109243697,0.114754098360656
"16","Big fish juveniles",1,99,15,23,0.811475409836066,0.122950819672131,"Big fish juveniles","high",119,0,8,0.932773109243697,0.122950819672131
"17","Badis badis",1,98,16,24,0.80327868852459,0.131147540983607,"Badis badis","high",119,0,8,0.932773109243697,0.131147540983607
"18","Puntius vittatus",1,97,17,25,0.795081967213115,0.139344262295082,"Puntius vittatus","high",119,0,8,0.932773109243697,0.139344262295082
"19","Rasbora daniconius",1,96,18,26,0.786885245901639,0.147540983606557,"Rasbora daniconius","high",119,0,8,0.932773109243697,0.147540983606557
"20","Pethia phutunio",1,95,19,27,0.778688524590164,0.155737704918033,"Pethia phutunio","high",119,0,8,0.932773109243697,0.155737704918033
"21","Parambassis baculis",2,93,20,29,0.762295081967213,0.163934426229508,"Parambassis baculis;Bubulcus ibis","high",119,1,9,0.92436974789916,0.163934426229508
"22","Minervarya agricola",1,92,21,30,0.754098360655738,0.172131147540984,"Minervarya agricola","high",119,0,9,0.92436974789916,0.172131147540984
"23","Minervarya pierrei",5,87,22,35,0.713114754098361,0.180327868852459,"Minervarya pierrei;Enhydris enhydris;Alcedo atthis;Halcyon smyrnensis;Ceryle rudis","high",119,4,13,0.890756302521008,0.180327868852459
"24","Detritus",25,62,23,60,0.508196721311475,0.188524590163934,"Duttaphrynus melanostictus;Duttaphrynus scaber;Pila globosa;Filopaludina bengalensis;Idiopoma dissimilis;Melanoides tuberculata;Tarebia lineata;Bithynia pulchella;Gabbia orcula;Radix rufescens;Racesina luteola;Macrobrachium malcolmsonii;Macrobrachium rosenbergii;Gyraulus barrackporensis;Gyraulus convexiusculus;Gyraulus euphraticus;Indoplanorbis exustus;Detritus;Porphyrio poliocephalus;Amaurornis phoenicurus;Himantopus himantopus;Vanellus indicus;Metopidius indicus;Hydrophasianus chirurgus;Anastomus oscitans","high",119,24,37,0.689075630252101,0.188524590163934
