"","basal_removed_each","num_lost_each","num_remain_tot","num_removed_tot","num_lost_tot","prop_remain","prop_removed","name_lost","degree_type","nodes_susc","nontarget_lost_each","cum_nontarget_lost","Y","prop_target_removed"
"1",NA,0,109,0,0,1,0,"","given",106,0,0,1,0
"2","Netuma thalassina",1,108,1,1,0.990825688073395,0.00917431192660551,"Netuma thalassina","given",106,0,0,1,0.00917431192660551
"3","Xenentodon cancila",1,107,2,2,0.981651376146789,0.018348623853211,"Xenentodon cancila","given",106,0,0,1,0.018348623853211
"4","Heteropneustes fossilis",1,106,3,3,0.972477064220184,0.0275229357798165,"Heteropneustes fossilis","given",106,0,0,1,0.0275229357798165
"5","Badis badis",1,105,4,4,0.963302752293578,0.036697247706422,"Badis badis","given",106,0,0,1,0.036697247706422
"6","Bungarus fasciatus",1,104,5,5,0.954128440366973,0.0458715596330275,"Bungarus fasciatus","given",106,0,0,1,0.0458715596330275
"7","Naja naja",1,103,6,6,0.944954128440367,0.055045871559633,"Naja naja","given",106,0,0,1,0.055045871559633
"8","Felis chaus",1,102,7,7,0.935779816513762,0.0642201834862385,"Felis chaus","given",106,0,0,1,0.0642201834862385
"9","Prionailurus viverrinus",1,101,8,8,0.926605504587156,0.073394495412844,"Prionailurus viverrinus","given",106,0,0,1,0.073394495412844
"10","Haliaeetus leucogaster",1,100,9,9,0.917431192660551,0.0825688073394495,"Haliaeetus leucogaster","given",106,0,0,1,0.0825688073394495
"11","Spilornis cheela",1,99,10,10,0.908256880733945,0.0917431192660551,"Spilornis cheela","given",106,0,0,1,0.0917431192660551
"12","Alcedo atthis",1,98,11,11,0.899082568807339,0.100917431192661,"Alcedo atthis","given",106,0,0,1,0.100917431192661
"13","Varanus bengalensis",1,97,12,12,0.889908256880734,0.110091743119266,"Varanus bengalensis","given",106,0,0,1,0.110091743119266
"14","Channa striata",1,96,13,13,0.880733944954128,0.119266055045872,"Channa striata","given",106,0,0,1,0.119266055045872
"15","Duttaphrynus scaber",1,95,14,14,0.871559633027523,0.128440366972477,"Duttaphrynus scaber","given",106,0,0,1,0.128440366972477
"16","Fejervarya orissaensis",1,94,15,15,0.862385321100917,0.137614678899083,"Fejervarya orissaensis","given",106,0,0,1,0.137614678899083
"17","Minervarya agricola",1,93,16,16,0.853211009174312,0.146788990825688,"Minervarya agricola","given",106,0,0,1,0.146788990825688
"18","Hoplobatrachus crassus",1,92,17,17,0.844036697247706,0.155963302752294,"Hoplobatrachus crassus","given",106,0,0,1,0.155963302752294
"19","Macrognathus pancalus",1,91,18,18,0.834862385321101,0.165137614678899,"Macrognathus pancalus","given",106,0,0,1,0.165137614678899
"20","Mastacembelus armatus",1,90,19,19,0.825688073394495,0.174311926605505,"Mastacembelus armatus","given",106,0,0,1,0.174311926605505
"21","Trichogaster lalius",1,89,20,20,0.81651376146789,0.18348623853211,"Trichogaster lalius","given",106,0,0,1,0.18348623853211
"22","Trichogaster fasciata",1,88,21,21,0.807339449541284,0.192660550458716,"Trichogaster fasciata","given",106,0,0,1,0.192660550458716
"23","Lissemys punctata",1,87,22,22,0.798165137614679,0.201834862385321,"Lissemys punctata","given",106,0,0,1,0.201834862385321
"24","Parambassis baculis",1,86,23,23,0.788990825688073,0.211009174311927,"Parambassis baculis","given",106,0,0,1,0.211009174311927
"25","Aplocheilus panchax",1,85,24,24,0.779816513761468,0.220183486238532,"Aplocheilus panchax","given",106,0,0,1,0.220183486238532
"26","Hydrovatus confertus",1,84,25,25,0.770642201834862,0.229357798165138,"Hydrovatus confertus","given",106,0,0,1,0.229357798165138
"27","Minervarya pierrei",1,83,26,26,0.761467889908257,0.238532110091743,"Minervarya pierrei","given",106,0,0,1,0.238532110091743
"28","Uperodon systoma",1,82,27,27,0.752293577981651,0.247706422018349,"Uperodon systoma","given",106,0,0,1,0.247706422018349
"29","Enhydris enhydris",1,81,28,28,0.743119266055046,0.256880733944954,"Enhydris enhydris","given",106,0,0,1,0.256880733944954
"30","Fowlea piscator",1,80,29,29,0.73394495412844,0.26605504587156,"Fowlea piscator","given",106,0,0,1,0.26605504587156
"31","Coracias benghalensis",1,79,30,30,0.724770642201835,0.275229357798165,"Coracias benghalensis","given",106,0,0,1,0.275229357798165
"32","Arcella discoides",1,78,31,31,0.715596330275229,0.284403669724771,"Arcella discoides","given",106,0,0,1,0.284403669724771
"33","Centropyxis aculeata",1,77,32,32,0.706422018348624,0.293577981651376,"Centropyxis aculeata","given",106,0,0,1,0.293577981651376
"34","Brachionus calyciflorus",1,76,33,33,0.697247706422018,0.302752293577982,"Brachionus calyciflorus","given",106,0,0,1,0.302752293577982
"35","Brachionus forficula",1,75,34,34,0.688073394495413,0.311926605504587,"Brachionus forficula","given",106,0,0,1,0.311926605504587
"36","Keratella lenzi",1,74,35,35,0.678899082568807,0.321100917431193,"Keratella lenzi","given",106,0,0,1,0.321100917431193
"37","Lecane aculeata",1,73,36,36,0.669724770642202,0.330275229357798,"Lecane aculeata","given",106,0,0,1,0.330275229357798
"38","Lecane bulla",2,71,37,38,0.651376146788991,0.339449541284404,"Anisops campbelli;Lecane bulla","given",106,1,1,0.990566037735849,0.339449541284404
"39","Asplanchna brightwelli",1,70,38,39,0.642201834862385,0.348623853211009,"Asplanchna brightwelli","given",106,0,1,0.990566037735849,0.348623853211009
"40","Mesocyclops leukarti",1,69,39,40,0.63302752293578,0.357798165137615,"Mesocyclops leukarti","given",106,0,1,0.990566037735849,0.357798165137615
"41","Scapholeberis kingi",1,68,40,41,0.623853211009174,0.36697247706422,"Scapholeberis kingi","given",106,0,1,0.990566037735849,0.36697247706422
"42","Macrothrix spinosa",1,67,41,42,0.614678899082569,0.376146788990826,"Macrothrix spinosa","given",106,0,1,0.990566037735849,0.376146788990826
"43","Macrothrix goeldi",1,66,42,43,0.605504587155963,0.385321100917431,"Macrothrix goeldi","given",106,0,1,0.990566037735849,0.385321100917431
"44","Alona pulchella",1,65,43,44,0.596330275229358,0.394495412844037,"Alona pulchella","given",106,0,1,0.990566037735849,0.394495412844037
