,from,to,link_type
1,Channa punctata,Felis chaus,0
2,Channa striata,Felis chaus,0
3,Mystus tengara,Felis chaus,0
4,Mystus vittatus,Felis chaus,0
5,Glossogobius giuris,Felis chaus,0
6,Oreochromis niloticus,Felis chaus,0
7,Duttaphrynus melanostictus,Felis chaus,0
8,Duttaphrynus scaber,Felis chaus,0
9,Fejervarya orissaensis,Felis chaus,0
10,Minervarya agricola,Felis chaus,0
11,Hoplobatrachus tigerinus,Felis chaus,0
12,Hoplobatrachus crassus,Felis chaus,0
13,Netuma thalassina,Prionailurus viverrinus,0
14,Macrognathus pancalus,Prionailurus viverrinus,0
15,Mystus tengara,Prionailurus viverrinus,0
16,Mystus vittatus,Prionailurus viverrinus,0
17,Xenentodon cancila,Prionailurus viverrinus,0
18,Channa punctata,Prionailurus viverrinus,0
19,Channa striata,Prionailurus viverrinus,0
20,Channa gachua,Prionailurus viverrinus,0
21,Oreochromis niloticus,Prionailurus viverrinus,0
22,Glossogobius giuris,Prionailurus viverrinus,0
23,Heteropneustes fossilis,Prionailurus viverrinus,0
24,Mastacembelus armatus,Prionailurus viverrinus,0
25,Notopterus notopterus,Prionailurus viverrinus,0
26,Trichogaster lalius,Prionailurus viverrinus,0
27,Trichogaster fasciata,Prionailurus viverrinus,0
28,Diplonychus annulatus,Prionailurus viverrinus,0
29,Diplonychus rusticus,Prionailurus viverrinus,0
30,Aquarius adelaides,Prionailurus viverrinus,0
31,Limnogonus fossarum,Prionailurus viverrinus,0
32,Laccotrephes griseus,Prionailurus viverrinus,0
33,Laccotrephes ruber,Prionailurus viverrinus,0
34,Ranatra elongata,Prionailurus viverrinus,0
35,Ranatra filiformis,Prionailurus viverrinus,0
36,Ranatra varipes,Prionailurus viverrinus,0
37,Anisops campbelli,Prionailurus viverrinus,0
38,Duttaphrynus melanostictus,Prionailurus viverrinus,0
39,Fejervarya orissaensis,Prionailurus viverrinus,0
40,Euphlyctis cyanophlyctis,Prionailurus viverrinus,0
41,Hoplobatrachus tigerinus,Prionailurus viverrinus,0
42,Hoplobatrachus crassus,Prionailurus viverrinus,0
43,Lissemys punctata,Prionailurus viverrinus,0
44,Big fish juveniles,Prionailurus viverrinus,0
45,Parambassis baculis,Dendrocygna javanica,0
46,Aplocheilus panchax,Dendrocygna javanica,0
47,Netuma thalassina,Dendrocygna javanica,0
48,Badis badis,Dendrocygna javanica,0
49,Mystus tengara,Dendrocygna javanica,0
50,Mystus vittatus,Dendrocygna javanica,0
51,Xenentodon cancila,Dendrocygna javanica,0
52,Channa punctata,Dendrocygna javanica,0
53,Channa striata,Dendrocygna javanica,0
54,Channa gachua,Dendrocygna javanica,0
55,Oreochromis niloticus,Dendrocygna javanica,0
56,Puntius vittatus,Dendrocygna javanica,0
57,Rasbora daniconius,Dendrocygna javanica,0
58,Pethia phutunio,Dendrocygna javanica,0
59,Glossogobius giuris,Dendrocygna javanica,0
60,Heteropneustes fossilis,Dendrocygna javanica,0
61,Macrognathus pancalus,Dendrocygna javanica,0
62,Mastacembelus armatus,Dendrocygna javanica,0
63,Notopterus notopterus,Dendrocygna javanica,0
64,Trichogaster lalius,Dendrocygna javanica,0
65,Trichogaster fasciata,Dendrocygna javanica,0
66,Herbaceous aquatic plants,Dendrocygna javanica,0
67,Big fish juveniles,Dendrocygna javanica,0
68,Parambassis baculis,Tachybaptus ruficollis,0
69,Aplocheilus panchax,Tachybaptus ruficollis,0
70,Badis badis,Tachybaptus ruficollis,0
71,Puntius vittatus,Tachybaptus ruficollis,0
72,Rasbora daniconius,Tachybaptus ruficollis,0
73,Pethia phutunio,Tachybaptus ruficollis,0
74,Trichogaster lalius,Tachybaptus ruficollis,0
75,Trichogaster fasciata,Tachybaptus ruficollis,0
76,Big fish juveniles,Tachybaptus ruficollis,0
77,Tadploes,Tachybaptus ruficollis,0
78,Macrobrachium malcolmsonii,Tachybaptus ruficollis,0
79,Macrobrachium rosenbergii,Tachybaptus ruficollis,0
80,Macrobrachium rude,Tachybaptus ruficollis,0
81,Macrobrachium equidens,Tachybaptus ruficollis,0
82,Diplonychus annulatus,Tachybaptus ruficollis,0
83,Diplonychus rusticus,Tachybaptus ruficollis,0
84,Aquarius adelaides,Tachybaptus ruficollis,0
85,Limnogonus fossarum,Tachybaptus ruficollis,0
86,Laccotrephes griseus,Tachybaptus ruficollis,0
87,Laccotrephes ruber,Tachybaptus ruficollis,0
88,Ranatra elongata,Tachybaptus ruficollis,0
89,Ranatra filiformis,Tachybaptus ruficollis,0
90,Ranatra varipes,Tachybaptus ruficollis,0
91,Anisops campbelli,Tachybaptus ruficollis,0
92,Hydrovatus confertus,Tachybaptus ruficollis,0
94,Diplonychus annulatus,Centropus bengalensis,0
95,Diplonychus rusticus,Centropus bengalensis,0
96,Aquarius adelaides,Centropus bengalensis,0
97,Limnogonus fossarum,Centropus bengalensis,0
98,Laccotrephes griseus,Centropus bengalensis,0
99,Laccotrephes ruber,Centropus bengalensis,0
100,Ranatra elongata,Centropus bengalensis,0
101,Ranatra filiformis,Centropus bengalensis,0
102,Ranatra varipes,Centropus bengalensis,0
103,Anisops campbelli,Centropus bengalensis,0
104,Hydrovatus confertus,Centropus bengalensis,0
105,Duttaphrynus melanostictus,Centropus bengalensis,0
106,Duttaphrynus scaber,Centropus bengalensis,0
107,Fejervarya orissaensis,Centropus bengalensis,0
108,Minervarya agricola,Centropus bengalensis,0
109,Minervarya pierrei,Centropus bengalensis,0
110,Euphlyctis cyanophlyctis,Centropus bengalensis,0
111,Hoplobatrachus tigerinus,Centropus bengalensis,0
112,Hoplobatrachus crassus,Centropus bengalensis,0
113,Sphaerotheca breviceps,Centropus bengalensis,0
114,Sphaerotheca rolandae,Centropus bengalensis,0
115,Microhyla mymensinghensis,Centropus bengalensis,0
116,Uperodon systoma,Centropus bengalensis,0
117,Hylarana tytleri,Centropus bengalensis,0
118,Polypedates maculatus,Centropus bengalensis,0
119,Herbaceous aquatic plants,Porphyrio poliocephalus,0
120,Diplonychus annulatus,Porphyrio poliocephalus,0
121,Diplonychus rusticus,Porphyrio poliocephalus,0
122,Aquarius adelaides,Porphyrio poliocephalus,0
123,Limnogonus fossarum,Porphyrio poliocephalus,0
124,Laccotrephes griseus,Porphyrio poliocephalus,0
125,Laccotrephes ruber,Porphyrio poliocephalus,0
126,Ranatra elongata,Porphyrio poliocephalus,0
127,Ranatra filiformis,Porphyrio poliocephalus,0
128,Ranatra varipes,Porphyrio poliocephalus,0
129,Anisops campbelli,Porphyrio poliocephalus,0
130,Hydrovatus confertus,Porphyrio poliocephalus,0
131,Herbaceous aquatic plants,Amaurornis phoenicurus,0
132,Diplonychus annulatus,Amaurornis phoenicurus,0
133,Diplonychus rusticus,Amaurornis phoenicurus,0
134,Aquarius adelaides,Amaurornis phoenicurus,0
135,Limnogonus fossarum,Amaurornis phoenicurus,0
136,Laccotrephes griseus,Amaurornis phoenicurus,0
137,Laccotrephes ruber,Amaurornis phoenicurus,0
138,Ranatra elongata,Amaurornis phoenicurus,0
139,Ranatra filiformis,Amaurornis phoenicurus,0
140,Ranatra varipes,Amaurornis phoenicurus,0
141,Anisops campbelli,Amaurornis phoenicurus,0
142,Hydrovatus confertus,Amaurornis phoenicurus,0
143,Parambassis baculis,Amaurornis phoenicurus,0
144,Aplocheilus panchax,Amaurornis phoenicurus,0
145,Badis badis,Amaurornis phoenicurus,0
146,Puntius vittatus,Amaurornis phoenicurus,0
147,Rasbora daniconius,Amaurornis phoenicurus,0
148,Pethia phutunio,Amaurornis phoenicurus,0
149,Trichogaster lalius,Amaurornis phoenicurus,0
150,Trichogaster fasciata,Amaurornis phoenicurus,0
151,Big fish juveniles,Amaurornis phoenicurus,0
152,Diplonychus annulatus,Himantopus himantopus,0
153,Diplonychus rusticus,Himantopus himantopus,0
154,Aquarius adelaides,Himantopus himantopus,0
155,Limnogonus fossarum,Himantopus himantopus,0
156,Laccotrephes griseus,Himantopus himantopus,0
157,Laccotrephes ruber,Himantopus himantopus,0
158,Ranatra elongata,Himantopus himantopus,0
159,Ranatra filiformis,Himantopus himantopus,0
160,Ranatra varipes,Himantopus himantopus,0
161,Anisops campbelli,Himantopus himantopus,0
162,Hydrovatus confertus,Himantopus himantopus,0
163,Diplonychus annulatus,Vanellus indicus,0
164,Diplonychus rusticus,Vanellus indicus,0
165,Aquarius adelaides,Vanellus indicus,0
166,Limnogonus fossarum,Vanellus indicus,0
167,Laccotrephes griseus,Vanellus indicus,0
168,Laccotrephes ruber,Vanellus indicus,0
169,Ranatra elongata,Vanellus indicus,0
170,Ranatra filiformis,Vanellus indicus,0
171,Ranatra varipes,Vanellus indicus,0
172,Anisops campbelli,Vanellus indicus,0
173,Hydrovatus confertus,Vanellus indicus,0
174,Herbaceous aquatic plants,Metopidius indicus,0
175,Diplonychus annulatus,Metopidius indicus,0
176,Diplonychus rusticus,Metopidius indicus,0
177,Aquarius adelaides,Metopidius indicus,0
178,Limnogonus fossarum,Metopidius indicus,0
179,Laccotrephes griseus,Metopidius indicus,0
180,Laccotrephes ruber,Metopidius indicus,0
181,Ranatra elongata,Metopidius indicus,0
182,Ranatra filiformis,Metopidius indicus,0
183,Ranatra varipes,Metopidius indicus,0
184,Anisops campbelli,Metopidius indicus,0
185,Hydrovatus confertus,Metopidius indicus,0
186,Fejervarya orissaensis,Anastomus oscitans,0
187,Minervarya agricola,Anastomus oscitans,0
188,Minervarya pierrei,Anastomus oscitans,0
189,Microhyla mymensinghensis,Anastomus oscitans,0
190,Uperodon systoma,Anastomus oscitans,0
191,Hylarana tytleri,Anastomus oscitans,0
192,Polypedates maculatus,Anastomus oscitans,0
193,Parambassis baculis,Anastomus oscitans,0
194,Aplocheilus panchax,Anastomus oscitans,0
195,Badis badis,Anastomus oscitans,0
196,Puntius vittatus,Anastomus oscitans,0
197,Rasbora daniconius,Anastomus oscitans,0
198,Pethia phutunio,Anastomus oscitans,0
199,Trichogaster lalius,Anastomus oscitans,0
200,Trichogaster fasciata,Anastomus oscitans,0
201,Big fish juveniles,Anastomus oscitans,0
202,Tadploes,Anastomus oscitans,0
203,Parambassis baculis,Mycteria leucocephala,0
204,Aplocheilus panchax,Mycteria leucocephala,0
205,Netuma thalassina,Mycteria leucocephala,0
206,Badis badis,Mycteria leucocephala,0
207,Mystus tengara,Mycteria leucocephala,0
208,Mystus vittatus,Mycteria leucocephala,0
209,Xenentodon cancila,Mycteria leucocephala,0
210,Channa punctata,Mycteria leucocephala,0
211,Channa striata,Mycteria leucocephala,0
212,Channa gachua,Mycteria leucocephala,0
213,Oreochromis niloticus,Mycteria leucocephala,0
214,Puntius vittatus,Mycteria leucocephala,0
215,Rasbora daniconius,Mycteria leucocephala,0
216,Pethia phutunio,Mycteria leucocephala,0
217,Glossogobius giuris,Mycteria leucocephala,0
218,Heteropneustes fossilis,Mycteria leucocephala,0
219,Macrognathus pancalus,Mycteria leucocephala,0
220,Mastacembelus armatus,Mycteria leucocephala,0
221,Notopterus notopterus,Mycteria leucocephala,0
222,Trichogaster lalius,Mycteria leucocephala,0
223,Trichogaster fasciata,Mycteria leucocephala,0
224,Duttaphrynus melanostictus,Mycteria leucocephala,0
225,Duttaphrynus scaber,Mycteria leucocephala,0
226,Fejervarya orissaensis,Mycteria leucocephala,0
227,Minervarya agricola,Mycteria leucocephala,0
228,Minervarya pierrei,Mycteria leucocephala,0
229,Euphlyctis cyanophlyctis,Mycteria leucocephala,0
230,Hoplobatrachus tigerinus,Mycteria leucocephala,0
231,Hoplobatrachus crassus,Mycteria leucocephala,0
232,Sphaerotheca breviceps,Mycteria leucocephala,0
233,Sphaerotheca rolandae,Mycteria leucocephala,0
234,Microhyla mymensinghensis,Mycteria leucocephala,0
235,Uperodon systoma,Mycteria leucocephala,0
236,Hylarana tytleri,Mycteria leucocephala,0
237,Polypedates maculatus,Mycteria leucocephala,0
238,Diplonychus annulatus,Mycteria leucocephala,0
239,Diplonychus rusticus,Mycteria leucocephala,0
240,Aquarius adelaides,Mycteria leucocephala,0
241,Limnogonus fossarum,Mycteria leucocephala,0
242,Laccotrephes griseus,Mycteria leucocephala,0
243,Laccotrephes ruber,Mycteria leucocephala,0
244,Ranatra elongata,Mycteria leucocephala,0
245,Ranatra filiformis,Mycteria leucocephala,0
246,Ranatra varipes,Mycteria leucocephala,0
247,Anisops campbelli,Mycteria leucocephala,0
248,Hydrovatus confertus,Mycteria leucocephala,0
249,Big fish juveniles,Mycteria leucocephala,0
250,Tadploes,Mycteria leucocephala,0
251,Parambassis baculis,Microcarbo niger,0
252,Aplocheilus panchax,Microcarbo niger,0
253,Badis badis,Microcarbo niger,0
254,Puntius vittatus,Microcarbo niger,0
255,Rasbora daniconius,Microcarbo niger,0
256,Pethia phutunio,Microcarbo niger,0
257,Trichogaster lalius,Microcarbo niger,0
258,Trichogaster fasciata,Microcarbo niger,0
259,Tadploes,Microcarbo niger,0
260,Duttaphrynus melanostictus,Microcarbo niger,0
261,Duttaphrynus scaber,Microcarbo niger,0
262,Fejervarya orissaensis,Microcarbo niger,0
263,Minervarya agricola,Microcarbo niger,0
264,Minervarya pierrei,Microcarbo niger,0
265,Euphlyctis cyanophlyctis,Microcarbo niger,0
266,Hoplobatrachus tigerinus,Microcarbo niger,0
267,Hoplobatrachus crassus,Microcarbo niger,0
268,Sphaerotheca breviceps,Microcarbo niger,0
269,Sphaerotheca rolandae,Microcarbo niger,0
270,Microhyla mymensinghensis,Microcarbo niger,0
