SL,from,to,INDIRECT_SERVICE_PROVIDER,PREMONSOON,MONSOON,POSTMONSOON,FUNC_GRP,HABITAT,SIZE_CAT,REL_ABUN_CAT
7,Felis chaus,Biocontrol,,1,1,1,Mammals,Terrestrial,6,1
8,Prionailurus viverrinus,Biocontrol,,1,1,1,Mammals,Terrestrial,6,1
8,Prionailurus viverrinus,Bioindicators,,1,1,1,Mammals,Terrestrial,6,1
14,Dendrocygna javanica,Bird_watching,,1,1,1,Aves,Limnetic,4,3
14,Dendrocygna javanica,Nutrient recycling,,1,1,1,Aves,Limnetic,4,3
14,Dendrocygna javanica,Biocontrol,,1,1,1,Aves,Limnetic,4,3
15,Tadorna ferruginea,Bird_watching,,0,0,1,Aves,Limnetic,5,2
15,Tadorna ferruginea,Nutrient recycling,,0,0,1,Aves,Limnetic,5,2
16,Nettapus coromandelianus,Bird_watching,,1,0,1,Aves,Limnetic,4,3
16,Nettapus coromandelianus,Nutrient recycling,,1,0,1,Aves,Limnetic,4,3
16,Nettapus coromandelianus,Biocontrol,,1,0,1,Aves,Limnetic,4,3
17,Spatula querquedula,Bird_watching,,0,0,1,Aves,Limnetic,4,2
17,Spatula querquedula,Nutrient recycling,,0,0,1,Aves,Limnetic,4,2
17,Spatula querquedula,Biocontrol,,0,0,1,Aves,Limnetic,4,2
18,Anas poecilorhyncha,Bird_watching,,1,0,1,Aves,Limnetic,5,3
18,Anas poecilorhyncha,Nutrient recycling,,1,0,1,Aves,Limnetic,5,3
18,Anas poecilorhyncha,Biocontrol,,1,0,1,Aves,Limnetic,5,3
19,Anas acuta,Bird_watching,,0,0,1,Aves,Limnetic,5,2
19,Anas acuta,Nutrient recycling,,0,0,1,Aves,Limnetic,5,2
19,Anas acuta,Biocontrol,,0,0,1,Aves,Limnetic,5,2
20,Netta rufina,Bird_watching,,0,0,1,Aves,Limnetic,5,3
20,Netta rufina,Nutrient recycling,,0,0,1,Aves,Limnetic,5,3
20,Netta rufina,Biocontrol,,0,0,1,Aves,Limnetic,5,3
23,Tachybaptus ruficollis,Bird_watching,,1,1,1,Aves,Limnetic,4,2
