"","PREY_sp","PREDATOR_sp"
"1","Channa punctata","Felis chaus"
"2","Channa striata","Felis chaus"
"3","Mystus tengara","Felis chaus"
"4","Mystus vittatus","Felis chaus"
"5","Glossogobius giuris","Felis chaus"
"6","Oreochromis niloticus","Felis chaus"
"7","Duttaphrynus melanostictus","Felis chaus"
"8","Minervarya agricola","Felis chaus"
"9","Hoplobatrachus tigerinus","Felis chaus"
"10","Netuma thalassina","Prionailurus viverrinus"
"11","Macrognathus pancalus","Prionailurus viverrinus"
"12","Mystus tengara","Prionailurus viverrinus"
"13","Mystus vittatus","Prionailurus viverrinus"
"14","Xenentodon cancila","Prionailurus viverrinus"
"15","Channa punctata","Prionailurus viverrinus"
"16","Channa striata","Prionailurus viverrinus"
"17","Channa gachua","Prionailurus viverrinus"
"18","Oreochromis niloticus","Prionailurus viverrinus"
"19","Glossogobius giuris","Prionailurus viverrinus"
"20","Heteropneustes fossilis","Prionailurus viverrinus"
"21","Mastacembelus armatus","Prionailurus viverrinus"
"22","Notopterus notopterus","Prionailurus viverrinus"
"23","Trichogaster lalius","Prionailurus viverrinus"
"24","Trichogaster fasciata","Prionailurus viverrinus"
"25","Diplonychus annulatus","Prionailurus viverrinus"
"26","Diplonychus rusticus","Prionailurus viverrinus"
"27","Aquarius adelaides","Prionailurus viverrinus"
"28","Limnogonus fossarum","Prionailurus viverrinus"
"29","Laccotrephes griseus","Prionailurus viverrinus"
"30","Laccotrephes ruber","Prionailurus viverrinus"
"31","Ranatra elongata","Prionailurus viverrinus"
"32","Ranatra filiformis","Prionailurus viverrinus"
"33","Ranatra varipes","Prionailurus viverrinus"
"34","Anisops campbelli","Prionailurus viverrinus"
"35","Duttaphrynus melanostictus","Prionailurus viverrinus"
"36","Euphlyctis cyanophlyctis","Prionailurus viverrinus"
"37","Hoplobatrachus tigerinus","Prionailurus viverrinus"
"38","Lissemys punctata","Prionailurus viverrinus"
"39","Big fish juveniles","Prionailurus viverrinus"
"40","Parambassis baculis","Dendrocygna javanica"
"41","Aplocheilus panchax","Dendrocygna javanica"
"42","Netuma thalassina","Dendrocygna javanica"
"43","Badis badis","Dendrocygna javanica"
"44","Mystus tengara","Dendrocygna javanica"
"45","Mystus vittatus","Dendrocygna javanica"
"46","Xenentodon cancila","Dendrocygna javanica"
"47","Channa punctata","Dendrocygna javanica"
"48","Channa striata","Dendrocygna javanica"
"49","Channa gachua","Dendrocygna javanica"
"50","Oreochromis niloticus","Dendrocygna javanica"
"51","Puntius vittatus","Dendrocygna javanica"
"52","Rasbora daniconius","Dendrocygna javanica"
"53","Pethia phutunio","Dendrocygna javanica"
"54","Glossogobius giuris","Dendrocygna javanica"
"55","Heteropneustes fossilis","Dendrocygna javanica"
"56","Macrognathus pancalus","Dendrocygna javanica"
"57","Mastacembelus armatus","Dendrocygna javanica"
"58","Notopterus notopterus","Dendrocygna javanica"
"59","Trichogaster lalius","Dendrocygna javanica"
"60","Trichogaster fasciata","Dendrocygna javanica"
"61","Herbaceous aquatic plants","Dendrocygna javanica"
"62","Big fish juveniles","Dendrocygna javanica"
"63","Herbaceous aquatic plants","Tadorna ferruginea"
"64","Green Algae","Tadorna ferruginea"
"65","Macrobrachium malcolmsonii","Tadorna ferruginea"
"66","Macrobrachium rosenbergii","Tadorna ferruginea"
"67","Macrobrachium rude","Tadorna ferruginea"
"68","Macrobrachium equidens","Tadorna ferruginea"
"69","Diplonychus annulatus","Tadorna ferruginea"
"70","Diplonychus rusticus","Tadorna ferruginea"
"71","Aquarius adelaides","Tadorna ferruginea"
"72","Limnogonus fossarum","Tadorna ferruginea"
"73","Laccotrephes griseus","Tadorna ferruginea"
"74","Laccotrephes ruber","Tadorna ferruginea"
"75","Ranatra elongata","Tadorna ferruginea"
"76","Ranatra filiformis","Tadorna ferruginea"
"77","Ranatra varipes","Tadorna ferruginea"
"78","Anisops campbelli","Tadorna ferruginea"
"79","Hydrovatus confertus","Tadorna ferruginea"
"80","Herbaceous aquatic plants","Nettapus coromandelianus"
"81","Macrobrachium malcolmsonii","Nettapus coromandelianus"
"82","Macrobrachium rosenbergii","Nettapus coromandelianus"
"83","Macrobrachium rude","Nettapus coromandelianus"
"84","Macrobrachium equidens","Nettapus coromandelianus"
"85","Diplonychus annulatus","Nettapus coromandelianus"
"86","Diplonychus rusticus","Nettapus coromandelianus"
"87","Aquarius adelaides","Nettapus coromandelianus"
