,from,to,link_type
1,Channa punctata,Felis chaus,0
2,Channa striata,Felis chaus,0
3,Mystus tengara,Felis chaus,0
4,Mystus vittatus,Felis chaus,0
5,Glossogobius giuris,Felis chaus,0
6,Oreochromis niloticus,Felis chaus,0
7,Duttaphrynus melanostictus,Felis chaus,0
8,Minervarya agricola,Felis chaus,0
9,Hoplobatrachus tigerinus,Felis chaus,0
10,Netuma thalassina,Prionailurus viverrinus,0
11,Macrognathus pancalus,Prionailurus viverrinus,0
12,Mystus tengara,Prionailurus viverrinus,0
13,Mystus vittatus,Prionailurus viverrinus,0
14,Xenentodon cancila,Prionailurus viverrinus,0
15,Channa punctata,Prionailurus viverrinus,0
16,Channa striata,Prionailurus viverrinus,0
17,Channa gachua,Prionailurus viverrinus,0
18,Oreochromis niloticus,Prionailurus viverrinus,0
19,Glossogobius giuris,Prionailurus viverrinus,0
20,Heteropneustes fossilis,Prionailurus viverrinus,0
21,Mastacembelus armatus,Prionailurus viverrinus,0
22,Notopterus notopterus,Prionailurus viverrinus,0
23,Trichogaster lalius,Prionailurus viverrinus,0
24,Trichogaster fasciata,Prionailurus viverrinus,0
25,Diplonychus annulatus,Prionailurus viverrinus,0
26,Diplonychus rusticus,Prionailurus viverrinus,0
27,Aquarius adelaides,Prionailurus viverrinus,0
28,Limnogonus fossarum,Prionailurus viverrinus,0
29,Laccotrephes griseus,Prionailurus viverrinus,0
30,Laccotrephes ruber,Prionailurus viverrinus,0
31,Ranatra elongata,Prionailurus viverrinus,0
32,Ranatra filiformis,Prionailurus viverrinus,0
33,Ranatra varipes,Prionailurus viverrinus,0
34,Anisops campbelli,Prionailurus viverrinus,0
35,Duttaphrynus melanostictus,Prionailurus viverrinus,0
36,Euphlyctis cyanophlyctis,Prionailurus viverrinus,0
37,Hoplobatrachus tigerinus,Prionailurus viverrinus,0
38,Lissemys punctata,Prionailurus viverrinus,0
39,Big fish juveniles,Prionailurus viverrinus,0
40,Parambassis baculis,Dendrocygna javanica,0
41,Aplocheilus panchax,Dendrocygna javanica,0
42,Netuma thalassina,Dendrocygna javanica,0
43,Badis badis,Dendrocygna javanica,0
44,Mystus tengara,Dendrocygna javanica,0
45,Mystus vittatus,Dendrocygna javanica,0
46,Xenentodon cancila,Dendrocygna javanica,0
47,Channa punctata,Dendrocygna javanica,0
48,Channa striata,Dendrocygna javanica,0
49,Channa gachua,Dendrocygna javanica,0
50,Oreochromis niloticus,Dendrocygna javanica,0
51,Puntius vittatus,Dendrocygna javanica,0
52,Rasbora daniconius,Dendrocygna javanica,0
53,Pethia phutunio,Dendrocygna javanica,0
54,Glossogobius giuris,Dendrocygna javanica,0
55,Heteropneustes fossilis,Dendrocygna javanica,0
56,Macrognathus pancalus,Dendrocygna javanica,0
57,Mastacembelus armatus,Dendrocygna javanica,0
58,Notopterus notopterus,Dendrocygna javanica,0
59,Trichogaster lalius,Dendrocygna javanica,0
60,Trichogaster fasciata,Dendrocygna javanica,0
61,Herbaceous aquatic plants,Dendrocygna javanica,0
62,Big fish juveniles,Dendrocygna javanica,0
63,Herbaceous aquatic plants,Tadorna ferruginea,0
64,Green Algae,Tadorna ferruginea,0
65,Macrobrachium malcolmsonii,Tadorna ferruginea,0
66,Macrobrachium rosenbergii,Tadorna ferruginea,0
67,Macrobrachium rude,Tadorna ferruginea,0
68,Macrobrachium equidens,Tadorna ferruginea,0
69,Diplonychus annulatus,Tadorna ferruginea,0
70,Diplonychus rusticus,Tadorna ferruginea,0
71,Aquarius adelaides,Tadorna ferruginea,0
72,Limnogonus fossarum,Tadorna ferruginea,0
73,Laccotrephes griseus,Tadorna ferruginea,0
74,Laccotrephes ruber,Tadorna ferruginea,0
75,Ranatra elongata,Tadorna ferruginea,0
76,Ranatra filiformis,Tadorna ferruginea,0
77,Ranatra varipes,Tadorna ferruginea,0
78,Anisops campbelli,Tadorna ferruginea,0
79,Hydrovatus confertus,Tadorna ferruginea,0
80,Herbaceous aquatic plants,Nettapus coromandelianus,0
81,Macrobrachium malcolmsonii,Nettapus coromandelianus,0
82,Macrobrachium rosenbergii,Nettapus coromandelianus,0
83,Macrobrachium rude,Nettapus coromandelianus,0
84,Macrobrachium equidens,Nettapus coromandelianus,0
85,Diplonychus annulatus,Nettapus coromandelianus,0
86,Diplonychus rusticus,Nettapus coromandelianus,0
87,Aquarius adelaides,Nettapus coromandelianus,0
88,Limnogonus fossarum,Nettapus coromandelianus,0
89,Laccotrephes griseus,Nettapus coromandelianus,0
90,Laccotrephes ruber,Nettapus coromandelianus,0
91,Ranatra elongata,Nettapus coromandelianus,0
92,Ranatra filiformis,Nettapus coromandelianus,0
93,Ranatra varipes,Nettapus coromandelianus,0
94,Anisops campbelli,Nettapus coromandelianus,0
95,Hydrovatus confertus,Nettapus coromandelianus,0
96,Herbaceous aquatic plants,Spatula querquedula,0
97,Diplonychus annulatus,Spatula querquedula,0
98,Diplonychus rusticus,Spatula querquedula,0
99,Aquarius adelaides,Spatula querquedula,0
100,Limnogonus fossarum,Spatula querquedula,0
101,Laccotrephes griseus,Spatula querquedula,0
102,Laccotrephes ruber,Spatula querquedula,0
103,Ranatra elongata,Spatula querquedula,0
104,Ranatra filiformis,Spatula querquedula,0
105,Ranatra varipes,Spatula querquedula,0
106,Anisops campbelli,Spatula querquedula,0
107,Hydrovatus confertus,Spatula querquedula,0
108,Herbaceous aquatic plants,Anas poecilorhyncha,0
109,Diplonychus annulatus,Anas poecilorhyncha,0
110,Diplonychus rusticus,Anas poecilorhyncha,0
111,Aquarius adelaides,Anas poecilorhyncha,0
112,Limnogonus fossarum,Anas poecilorhyncha,0
113,Laccotrephes griseus,Anas poecilorhyncha,0
114,Laccotrephes ruber,Anas poecilorhyncha,0
115,Ranatra elongata,Anas poecilorhyncha,0
116,Ranatra filiformis,Anas poecilorhyncha,0
117,Ranatra varipes,Anas poecilorhyncha,0
118,Anisops campbelli,Anas poecilorhyncha,0
119,Hydrovatus confertus,Anas poecilorhyncha,0
120,Herbaceous aquatic plants,Anas acuta,0
121,Diplonychus annulatus,Anas acuta,0
122,Diplonychus rusticus,Anas acuta,0
123,Aquarius adelaides,Anas acuta,0
124,Limnogonus fossarum,Anas acuta,0
125,Laccotrephes griseus,Anas acuta,0
126,Laccotrephes ruber,Anas acuta,0
127,Ranatra elongata,Anas acuta,0
128,Ranatra filiformis,Anas acuta,0
129,Ranatra varipes,Anas acuta,0
130,Anisops campbelli,Anas acuta,0
131,Hydrovatus confertus,Anas acuta,0
132,Herbaceous aquatic plants,Netta rufina,0
133,Diplonychus annulatus,Netta rufina,0
134,Diplonychus rusticus,Netta rufina,0
135,Aquarius adelaides,Netta rufina,0
136,Limnogonus fossarum,Netta rufina,0
137,Laccotrephes griseus,Netta rufina,0
138,Laccotrephes ruber,Netta rufina,0
139,Ranatra elongata,Netta rufina,0
140,Ranatra filiformis,Netta rufina,0
141,Ranatra varipes,Netta rufina,0
142,Anisops campbelli,Netta rufina,0
143,Hydrovatus confertus,Netta rufina,0
144,Green Algae,Netta rufina,0
145,Parambassis baculis,Tachybaptus ruficollis,0
146,Aplocheilus panchax,Tachybaptus ruficollis,0
147,Badis badis,Tachybaptus ruficollis,0
148,Puntius vittatus,Tachybaptus ruficollis,0
149,Rasbora daniconius,Tachybaptus ruficollis,0
150,Pethia phutunio,Tachybaptus ruficollis,0
151,Trichogaster lalius,Tachybaptus ruficollis,0
152,Trichogaster fasciata,Tachybaptus ruficollis,0
153,Big fish juveniles,Tachybaptus ruficollis,0
154,Tadploes,Tachybaptus ruficollis,0
155,Macrobrachium malcolmsonii,Tachybaptus ruficollis,0
156,Macrobrachium rosenbergii,Tachybaptus ruficollis,0
157,Macrobrachium rude,Tachybaptus ruficollis,0
158,Macrobrachium equidens,Tachybaptus ruficollis,0
159,Diplonychus annulatus,Tachybaptus ruficollis,0
160,Diplonychus rusticus,Tachybaptus ruficollis,0
161,Aquarius adelaides,Tachybaptus ruficollis,0
162,Limnogonus fossarum,Tachybaptus ruficollis,0
163,Laccotrephes griseus,Tachybaptus ruficollis,0
164,Laccotrephes ruber,Tachybaptus ruficollis,0
165,Ranatra elongata,Tachybaptus ruficollis,0
166,Ranatra filiformis,Tachybaptus ruficollis,0
167,Ranatra varipes,Tachybaptus ruficollis,0
168,Anisops campbelli,Tachybaptus ruficollis,0
169,Hydrovatus confertus,Tachybaptus ruficollis,0
171,Diplonychus annulatus,Centropus bengalensis,0
172,Diplonychus rusticus,Centropus bengalensis,0
173,Aquarius adelaides,Centropus bengalensis,0
174,Limnogonus fossarum,Centropus bengalensis,0
175,Laccotrephes griseus,Centropus bengalensis,0
176,Laccotrephes ruber,Centropus bengalensis,0
177,Ranatra elongata,Centropus bengalensis,0
178,Ranatra filiformis,Centropus bengalensis,0
179,Ranatra varipes,Centropus bengalensis,0
180,Anisops campbelli,Centropus bengalensis,0
181,Hydrovatus confertus,Centropus bengalensis,0
182,Duttaphrynus melanostictus,Centropus bengalensis,0
183,Minervarya agricola,Centropus bengalensis,0
184,Euphlyctis cyanophlyctis,Centropus bengalensis,0
185,Hoplobatrachus tigerinus,Centropus bengalensis,0
186,Microhyla mymensinghensis,Centropus bengalensis,0
187,Polypedates maculatus,Centropus bengalensis,0
188,Herbaceous aquatic plants,Gallinula chloropus,0
189,Diplonychus annulatus,Gallinula chloropus,0
190,Diplonychus rusticus,Gallinula chloropus,0
191,Aquarius adelaides,Gallinula chloropus,0
192,Limnogonus fossarum,Gallinula chloropus,0
193,Laccotrephes griseus,Gallinula chloropus,0
194,Laccotrephes ruber,Gallinula chloropus,0
195,Ranatra elongata,Gallinula chloropus,0
196,Ranatra filiformis,Gallinula chloropus,0
197,Ranatra varipes,Gallinula chloropus,0
198,Anisops campbelli,Gallinula chloropus,0
199,Hydrovatus confertus,Gallinula chloropus,0
200,Duttaphrynus melanostictus,Gallinula chloropus,0
201,Minervarya agricola,Gallinula chloropus,0
202,Euphlyctis cyanophlyctis,Gallinula chloropus,0
203,Hoplobatrachus tigerinus,Gallinula chloropus,0
204,Microhyla mymensinghensis,Gallinula chloropus,0
205,Polypedates maculatus,Gallinula chloropus,0
206,Herbaceous aquatic plants,Fulica atra,0
207,Diplonychus annulatus,Fulica atra,0
208,Diplonychus rusticus,Fulica atra,0
209,Aquarius adelaides,Fulica atra,0
210,Limnogonus fossarum,Fulica atra,0
211,Laccotrephes griseus,Fulica atra,0
212,Laccotrephes ruber,Fulica atra,0
213,Ranatra elongata,Fulica atra,0
214,Ranatra filiformis,Fulica atra,0
215,Ranatra varipes,Fulica atra,0
216,Anisops campbelli,Fulica atra,0
217,Hydrovatus confertus,Fulica atra,0
218,Herbaceous aquatic plants,Porphyrio poliocephalus,0
219,Diplonychus annulatus,Porphyrio poliocephalus,0
220,Diplonychus rusticus,Porphyrio poliocephalus,0
221,Aquarius adelaides,Porphyrio poliocephalus,0
222,Limnogonus fossarum,Porphyrio poliocephalus,0
223,Laccotrephes griseus,Porphyrio poliocephalus,0
224,Laccotrephes ruber,Porphyrio poliocephalus,0
225,Ranatra elongata,Porphyrio poliocephalus,0
226,Ranatra filiformis,Porphyrio poliocephalus,0
227,Ranatra varipes,Porphyrio poliocephalus,0
228,Anisops campbelli,Porphyrio poliocephalus,0
229,Hydrovatus confertus,Porphyrio poliocephalus,0
230,Herbaceous aquatic plants,Amaurornis phoenicurus,0
231,Diplonychus annulatus,Amaurornis phoenicurus,0
232,Diplonychus rusticus,Amaurornis phoenicurus,0
233,Aquarius adelaides,Amaurornis phoenicurus,0
234,Limnogonus fossarum,Amaurornis phoenicurus,0
235,Laccotrephes griseus,Amaurornis phoenicurus,0
236,Laccotrephes ruber,Amaurornis phoenicurus,0
237,Ranatra elongata,Amaurornis phoenicurus,0
238,Ranatra filiformis,Amaurornis phoenicurus,0
239,Ranatra varipes,Amaurornis phoenicurus,0
240,Anisops campbelli,Amaurornis phoenicurus,0
241,Hydrovatus confertus,Amaurornis phoenicurus,0
242,Parambassis baculis,Amaurornis phoenicurus,0
243,Aplocheilus panchax,Amaurornis phoenicurus,0
244,Badis badis,Amaurornis phoenicurus,0
245,Puntius vittatus,Amaurornis phoenicurus,0
246,Rasbora daniconius,Amaurornis phoenicurus,0
247,Pethia phutunio,Amaurornis phoenicurus,0
248,Trichogaster lalius,Amaurornis phoenicurus,0
249,Trichogaster fasciata,Amaurornis phoenicurus,0
250,Big fish juveniles,Amaurornis phoenicurus,0
251,Diplonychus annulatus,Himantopus himantopus,0
252,Diplonychus rusticus,Himantopus himantopus,0
253,Aquarius adelaides,Himantopus himantopus,0
254,Limnogonus fossarum,Himantopus himantopus,0
255,Laccotrephes griseus,Himantopus himantopus,0
256,Laccotrephes ruber,Himantopus himantopus,0
257,Ranatra elongata,Himantopus himantopus,0
258,Ranatra filiformis,Himantopus himantopus,0
259,Ranatra varipes,Himantopus himantopus,0
260,Anisops campbelli,Himantopus himantopus,0
261,Hydrovatus confertus,Himantopus himantopus,0
262,Diplonychus annulatus,Pluvialis fulva,0
263,Diplonychus rusticus,Pluvialis fulva,0
264,Aquarius adelaides,Pluvialis fulva,0
265,Limnogonus fossarum,Pluvialis fulva,0
266,Laccotrephes griseus,Pluvialis fulva,0
267,Laccotrephes ruber,Pluvialis fulva,0
268,Ranatra elongata,Pluvialis fulva,0
269,Ranatra filiformis,Pluvialis fulva,0
270,Ranatra varipes,Pluvialis fulva,0
271,Anisops campbelli,Pluvialis fulva,0
