"","PREY_sp","PREDATOR_sp"
"1","Channa punctata","Felis chaus"
"2","Channa striata","Felis chaus"
"3","Mystus tengara","Felis chaus"
"4","Mystus vittatus","Felis chaus"
"5","Glossogobius giuris","Felis chaus"
"6","Oreochromis niloticus","Felis chaus"
"7","Duttaphrynus melanostictus","Felis chaus"
"8","Duttaphrynus scaber","Felis chaus"
"9","Fejervarya orissaensis","Felis chaus"
"10","Minervarya agricola","Felis chaus"
"11","Hoplobatrachus tigerinus","Felis chaus"
"12","Hoplobatrachus crassus","Felis chaus"
"13","Netuma thalassina","Prionailurus viverrinus"
"14","Macrognathus pancalus","Prionailurus viverrinus"
"15","Mystus tengara","Prionailurus viverrinus"
"16","Mystus vittatus","Prionailurus viverrinus"
"17","Xenentodon cancila","Prionailurus viverrinus"
"18","Channa punctata","Prionailurus viverrinus"
"19","Channa striata","Prionailurus viverrinus"
"20","Channa gachua","Prionailurus viverrinus"
"21","Oreochromis niloticus","Prionailurus viverrinus"
"22","Glossogobius giuris","Prionailurus viverrinus"
"23","Heteropneustes fossilis","Prionailurus viverrinus"
"24","Mastacembelus armatus","Prionailurus viverrinus"
"25","Notopterus notopterus","Prionailurus viverrinus"
"26","Trichogaster lalius","Prionailurus viverrinus"
"27","Trichogaster fasciata","Prionailurus viverrinus"
"28","Diplonychus annulatus","Prionailurus viverrinus"
"29","Diplonychus rusticus","Prionailurus viverrinus"
"30","Aquarius adelaides","Prionailurus viverrinus"
"31","Limnogonus fossarum","Prionailurus viverrinus"
"32","Laccotrephes griseus","Prionailurus viverrinus"
"33","Laccotrephes ruber","Prionailurus viverrinus"
"34","Ranatra elongata","Prionailurus viverrinus"
"35","Ranatra filiformis","Prionailurus viverrinus"
"36","Ranatra varipes","Prionailurus viverrinus"
"37","Anisops campbelli","Prionailurus viverrinus"
"38","Duttaphrynus melanostictus","Prionailurus viverrinus"
"39","Fejervarya orissaensis","Prionailurus viverrinus"
"40","Euphlyctis cyanophlyctis","Prionailurus viverrinus"
"41","Hoplobatrachus tigerinus","Prionailurus viverrinus"
"42","Hoplobatrachus crassus","Prionailurus viverrinus"
"43","Lissemys punctata","Prionailurus viverrinus"
"44","Big fish juveniles","Prionailurus viverrinus"
"45","Parambassis baculis","Dendrocygna javanica"
"46","Aplocheilus panchax","Dendrocygna javanica"
"47","Netuma thalassina","Dendrocygna javanica"
"48","Badis badis","Dendrocygna javanica"
"49","Mystus tengara","Dendrocygna javanica"
"50","Mystus vittatus","Dendrocygna javanica"
"51","Xenentodon cancila","Dendrocygna javanica"
"52","Channa punctata","Dendrocygna javanica"
"53","Channa striata","Dendrocygna javanica"
"54","Channa gachua","Dendrocygna javanica"
"55","Oreochromis niloticus","Dendrocygna javanica"
"56","Puntius vittatus","Dendrocygna javanica"
"57","Rasbora daniconius","Dendrocygna javanica"
"58","Pethia phutunio","Dendrocygna javanica"
"59","Glossogobius giuris","Dendrocygna javanica"
"60","Heteropneustes fossilis","Dendrocygna javanica"
"61","Macrognathus pancalus","Dendrocygna javanica"
"62","Mastacembelus armatus","Dendrocygna javanica"
"63","Notopterus notopterus","Dendrocygna javanica"
"64","Trichogaster lalius","Dendrocygna javanica"
"65","Trichogaster fasciata","Dendrocygna javanica"
"66","Herbaceous aquatic plants","Dendrocygna javanica"
"67","Big fish juveniles","Dendrocygna javanica"
"68","Herbaceous aquatic plants","Nettapus coromandelianus"
"69","Macrobrachium malcolmsonii","Nettapus coromandelianus"
"70","Macrobrachium rosenbergii","Nettapus coromandelianus"
"71","Macrobrachium rude","Nettapus coromandelianus"
"72","Macrobrachium equidens","Nettapus coromandelianus"
"73","Diplonychus annulatus","Nettapus coromandelianus"
"74","Diplonychus rusticus","Nettapus coromandelianus"
"75","Aquarius adelaides","Nettapus coromandelianus"
"76","Limnogonus fossarum","Nettapus coromandelianus"
"77","Laccotrephes griseus","Nettapus coromandelianus"
"78","Laccotrephes ruber","Nettapus coromandelianus"
"79","Ranatra elongata","Nettapus coromandelianus"
"80","Ranatra filiformis","Nettapus coromandelianus"
"81","Ranatra varipes","Nettapus coromandelianus"
"82","Anisops campbelli","Nettapus coromandelianus"
"83","Hydrovatus confertus","Nettapus coromandelianus"
"84","Herbaceous aquatic plants","Anas poecilorhyncha"
"85","Diplonychus annulatus","Anas poecilorhyncha"
"86","Diplonychus rusticus","Anas poecilorhyncha"
