,from,to,link_type
1,Channa punctata,Felis chaus,0
2,Channa striata,Felis chaus,0
3,Mystus tengara,Felis chaus,0
4,Mystus vittatus,Felis chaus,0
5,Glossogobius giuris,Felis chaus,0
6,Oreochromis niloticus,Felis chaus,0
7,Duttaphrynus melanostictus,Felis chaus,0
8,Duttaphrynus scaber,Felis chaus,0
9,Fejervarya orissaensis,Felis chaus,0
10,Minervarya agricola,Felis chaus,0
11,Hoplobatrachus tigerinus,Felis chaus,0
12,Hoplobatrachus crassus,Felis chaus,0
13,Netuma thalassina,Prionailurus viverrinus,0
14,Macrognathus pancalus,Prionailurus viverrinus,0
15,Mystus tengara,Prionailurus viverrinus,0
16,Mystus vittatus,Prionailurus viverrinus,0
17,Xenentodon cancila,Prionailurus viverrinus,0
18,Channa punctata,Prionailurus viverrinus,0
19,Channa striata,Prionailurus viverrinus,0
20,Channa gachua,Prionailurus viverrinus,0
21,Oreochromis niloticus,Prionailurus viverrinus,0
22,Glossogobius giuris,Prionailurus viverrinus,0
23,Heteropneustes fossilis,Prionailurus viverrinus,0
24,Mastacembelus armatus,Prionailurus viverrinus,0
25,Notopterus notopterus,Prionailurus viverrinus,0
26,Trichogaster lalius,Prionailurus viverrinus,0
27,Trichogaster fasciata,Prionailurus viverrinus,0
28,Diplonychus annulatus,Prionailurus viverrinus,0
29,Diplonychus rusticus,Prionailurus viverrinus,0
30,Aquarius adelaides,Prionailurus viverrinus,0
31,Limnogonus fossarum,Prionailurus viverrinus,0
32,Laccotrephes griseus,Prionailurus viverrinus,0
33,Laccotrephes ruber,Prionailurus viverrinus,0
34,Ranatra elongata,Prionailurus viverrinus,0
35,Ranatra filiformis,Prionailurus viverrinus,0
36,Ranatra varipes,Prionailurus viverrinus,0
37,Anisops campbelli,Prionailurus viverrinus,0
38,Duttaphrynus melanostictus,Prionailurus viverrinus,0
39,Fejervarya orissaensis,Prionailurus viverrinus,0
40,Euphlyctis cyanophlyctis,Prionailurus viverrinus,0
41,Hoplobatrachus tigerinus,Prionailurus viverrinus,0
42,Hoplobatrachus crassus,Prionailurus viverrinus,0
43,Lissemys punctata,Prionailurus viverrinus,0
44,Big fish juveniles,Prionailurus viverrinus,0
45,Parambassis baculis,Dendrocygna javanica,0
46,Aplocheilus panchax,Dendrocygna javanica,0
47,Netuma thalassina,Dendrocygna javanica,0
48,Badis badis,Dendrocygna javanica,0
49,Mystus tengara,Dendrocygna javanica,0
50,Mystus vittatus,Dendrocygna javanica,0
51,Xenentodon cancila,Dendrocygna javanica,0
52,Channa punctata,Dendrocygna javanica,0
53,Channa striata,Dendrocygna javanica,0
54,Channa gachua,Dendrocygna javanica,0
55,Oreochromis niloticus,Dendrocygna javanica,0
56,Puntius vittatus,Dendrocygna javanica,0
57,Rasbora daniconius,Dendrocygna javanica,0
58,Pethia phutunio,Dendrocygna javanica,0
59,Glossogobius giuris,Dendrocygna javanica,0
60,Heteropneustes fossilis,Dendrocygna javanica,0
61,Macrognathus pancalus,Dendrocygna javanica,0
62,Mastacembelus armatus,Dendrocygna javanica,0
63,Notopterus notopterus,Dendrocygna javanica,0
64,Trichogaster lalius,Dendrocygna javanica,0
65,Trichogaster fasciata,Dendrocygna javanica,0
66,Herbaceous aquatic plants,Dendrocygna javanica,0
67,Big fish juveniles,Dendrocygna javanica,0
68,Herbaceous aquatic plants,Nettapus coromandelianus,0
69,Macrobrachium malcolmsonii,Nettapus coromandelianus,0
70,Macrobrachium rosenbergii,Nettapus coromandelianus,0
71,Macrobrachium rude,Nettapus coromandelianus,0
72,Macrobrachium equidens,Nettapus coromandelianus,0
73,Diplonychus annulatus,Nettapus coromandelianus,0
74,Diplonychus rusticus,Nettapus coromandelianus,0
75,Aquarius adelaides,Nettapus coromandelianus,0
76,Limnogonus fossarum,Nettapus coromandelianus,0
77,Laccotrephes griseus,Nettapus coromandelianus,0
78,Laccotrephes ruber,Nettapus coromandelianus,0
79,Ranatra elongata,Nettapus coromandelianus,0
80,Ranatra filiformis,Nettapus coromandelianus,0
81,Ranatra varipes,Nettapus coromandelianus,0
82,Anisops campbelli,Nettapus coromandelianus,0
83,Hydrovatus confertus,Nettapus coromandelianus,0
84,Herbaceous aquatic plants,Anas poecilorhyncha,0
85,Diplonychus annulatus,Anas poecilorhyncha,0
86,Diplonychus rusticus,Anas poecilorhyncha,0
87,Aquarius adelaides,Anas poecilorhyncha,0
88,Limnogonus fossarum,Anas poecilorhyncha,0
89,Laccotrephes griseus,Anas poecilorhyncha,0
90,Laccotrephes ruber,Anas poecilorhyncha,0
91,Ranatra elongata,Anas poecilorhyncha,0
92,Ranatra filiformis,Anas poecilorhyncha,0
93,Ranatra varipes,Anas poecilorhyncha,0
94,Anisops campbelli,Anas poecilorhyncha,0
95,Hydrovatus confertus,Anas poecilorhyncha,0
96,Parambassis baculis,Tachybaptus ruficollis,0
97,Aplocheilus panchax,Tachybaptus ruficollis,0
98,Badis badis,Tachybaptus ruficollis,0
99,Puntius vittatus,Tachybaptus ruficollis,0
100,Rasbora daniconius,Tachybaptus ruficollis,0
101,Pethia phutunio,Tachybaptus ruficollis,0
102,Trichogaster lalius,Tachybaptus ruficollis,0
103,Trichogaster fasciata,Tachybaptus ruficollis,0
104,Big fish juveniles,Tachybaptus ruficollis,0
105,Macrobrachium malcolmsonii,Tachybaptus ruficollis,0
106,Macrobrachium rosenbergii,Tachybaptus ruficollis,0
107,Macrobrachium rude,Tachybaptus ruficollis,0
108,Macrobrachium equidens,Tachybaptus ruficollis,0
109,Diplonychus annulatus,Tachybaptus ruficollis,0
110,Diplonychus rusticus,Tachybaptus ruficollis,0
111,Aquarius adelaides,Tachybaptus ruficollis,0
112,Limnogonus fossarum,Tachybaptus ruficollis,0
113,Laccotrephes griseus,Tachybaptus ruficollis,0
114,Laccotrephes ruber,Tachybaptus ruficollis,0
115,Ranatra elongata,Tachybaptus ruficollis,0
116,Ranatra filiformis,Tachybaptus ruficollis,0
117,Ranatra varipes,Tachybaptus ruficollis,0
118,Anisops campbelli,Tachybaptus ruficollis,0
119,Hydrovatus confertus,Tachybaptus ruficollis,0
121,Diplonychus annulatus,Centropus bengalensis,0
122,Diplonychus rusticus,Centropus bengalensis,0
123,Aquarius adelaides,Centropus bengalensis,0
124,Limnogonus fossarum,Centropus bengalensis,0
125,Laccotrephes griseus,Centropus bengalensis,0
126,Laccotrephes ruber,Centropus bengalensis,0
127,Ranatra elongata,Centropus bengalensis,0
128,Ranatra filiformis,Centropus bengalensis,0
129,Ranatra varipes,Centropus bengalensis,0
130,Anisops campbelli,Centropus bengalensis,0
131,Hydrovatus confertus,Centropus bengalensis,0
132,Duttaphrynus melanostictus,Centropus bengalensis,0
133,Duttaphrynus scaber,Centropus bengalensis,0
134,Fejervarya orissaensis,Centropus bengalensis,0
135,Minervarya agricola,Centropus bengalensis,0
136,Minervarya pierrei,Centropus bengalensis,0
137,Euphlyctis cyanophlyctis,Centropus bengalensis,0
138,Hoplobatrachus tigerinus,Centropus bengalensis,0
139,Hoplobatrachus crassus,Centropus bengalensis,0
140,Uperodon systoma,Centropus bengalensis,0
141,Polypedates maculatus,Centropus bengalensis,0
142,Herbaceous aquatic plants,Gallinula chloropus,0
143,Diplonychus annulatus,Gallinula chloropus,0
144,Diplonychus rusticus,Gallinula chloropus,0
145,Aquarius adelaides,Gallinula chloropus,0
146,Limnogonus fossarum,Gallinula chloropus,0
147,Laccotrephes griseus,Gallinula chloropus,0
148,Laccotrephes ruber,Gallinula chloropus,0
149,Ranatra elongata,Gallinula chloropus,0
150,Ranatra filiformis,Gallinula chloropus,0
151,Ranatra varipes,Gallinula chloropus,0
152,Anisops campbelli,Gallinula chloropus,0
153,Hydrovatus confertus,Gallinula chloropus,0
154,Duttaphrynus melanostictus,Gallinula chloropus,0
155,Duttaphrynus scaber,Gallinula chloropus,0
156,Fejervarya orissaensis,Gallinula chloropus,0
157,Minervarya agricola,Gallinula chloropus,0
158,Minervarya pierrei,Gallinula chloropus,0
159,Euphlyctis cyanophlyctis,Gallinula chloropus,0
160,Hoplobatrachus tigerinus,Gallinula chloropus,0
161,Hoplobatrachus crassus,Gallinula chloropus,0
162,Uperodon systoma,Gallinula chloropus,0
163,Polypedates maculatus,Gallinula chloropus,0
164,Herbaceous aquatic plants,Porphyrio poliocephalus,0
165,Diplonychus annulatus,Porphyrio poliocephalus,0
166,Diplonychus rusticus,Porphyrio poliocephalus,0
167,Aquarius adelaides,Porphyrio poliocephalus,0
168,Limnogonus fossarum,Porphyrio poliocephalus,0
169,Laccotrephes griseus,Porphyrio poliocephalus,0
170,Laccotrephes ruber,Porphyrio poliocephalus,0
171,Ranatra elongata,Porphyrio poliocephalus,0
172,Ranatra filiformis,Porphyrio poliocephalus,0
173,Ranatra varipes,Porphyrio poliocephalus,0
174,Anisops campbelli,Porphyrio poliocephalus,0
175,Hydrovatus confertus,Porphyrio poliocephalus,0
176,Herbaceous aquatic plants,Amaurornis phoenicurus,0
177,Diplonychus annulatus,Amaurornis phoenicurus,0
178,Diplonychus rusticus,Amaurornis phoenicurus,0
179,Aquarius adelaides,Amaurornis phoenicurus,0
180,Limnogonus fossarum,Amaurornis phoenicurus,0
181,Laccotrephes griseus,Amaurornis phoenicurus,0
182,Laccotrephes ruber,Amaurornis phoenicurus,0
183,Ranatra elongata,Amaurornis phoenicurus,0
184,Ranatra filiformis,Amaurornis phoenicurus,0
185,Ranatra varipes,Amaurornis phoenicurus,0
186,Anisops campbelli,Amaurornis phoenicurus,0
187,Hydrovatus confertus,Amaurornis phoenicurus,0
188,Parambassis baculis,Amaurornis phoenicurus,0
189,Aplocheilus panchax,Amaurornis phoenicurus,0
190,Badis badis,Amaurornis phoenicurus,0
191,Puntius vittatus,Amaurornis phoenicurus,0
192,Rasbora daniconius,Amaurornis phoenicurus,0
193,Pethia phutunio,Amaurornis phoenicurus,0
194,Trichogaster lalius,Amaurornis phoenicurus,0
195,Trichogaster fasciata,Amaurornis phoenicurus,0
196,Big fish juveniles,Amaurornis phoenicurus,0
197,Diplonychus annulatus,Himantopus himantopus,0
198,Diplonychus rusticus,Himantopus himantopus,0
199,Aquarius adelaides,Himantopus himantopus,0
200,Limnogonus fossarum,Himantopus himantopus,0
201,Laccotrephes griseus,Himantopus himantopus,0
202,Laccotrephes ruber,Himantopus himantopus,0
203,Ranatra elongata,Himantopus himantopus,0
204,Ranatra filiformis,Himantopus himantopus,0
205,Ranatra varipes,Himantopus himantopus,0
206,Anisops campbelli,Himantopus himantopus,0
207,Hydrovatus confertus,Himantopus himantopus,0
208,Diplonychus annulatus,Vanellus indicus,0
209,Diplonychus rusticus,Vanellus indicus,0
210,Aquarius adelaides,Vanellus indicus,0
211,Limnogonus fossarum,Vanellus indicus,0
212,Laccotrephes griseus,Vanellus indicus,0
213,Laccotrephes ruber,Vanellus indicus,0
214,Ranatra elongata,Vanellus indicus,0
215,Ranatra filiformis,Vanellus indicus,0
216,Ranatra varipes,Vanellus indicus,0
217,Anisops campbelli,Vanellus indicus,0
218,Hydrovatus confertus,Vanellus indicus,0
219,Herbaceous aquatic plants,Metopidius indicus,0
220,Diplonychus annulatus,Metopidius indicus,0
221,Diplonychus rusticus,Metopidius indicus,0
222,Aquarius adelaides,Metopidius indicus,0
223,Limnogonus fossarum,Metopidius indicus,0
224,Laccotrephes griseus,Metopidius indicus,0
225,Laccotrephes ruber,Metopidius indicus,0
226,Ranatra elongata,Metopidius indicus,0
227,Ranatra filiformis,Metopidius indicus,0
228,Ranatra varipes,Metopidius indicus,0
229,Anisops campbelli,Metopidius indicus,0
230,Hydrovatus confertus,Metopidius indicus,0
231,Herbaceous aquatic plants,Hydrophasianus chirurgus,0
232,Diplonychus annulatus,Hydrophasianus chirurgus,0
233,Diplonychus rusticus,Hydrophasianus chirurgus,0
234,Aquarius adelaides,Hydrophasianus chirurgus,0
235,Limnogonus fossarum,Hydrophasianus chirurgus,0
236,Laccotrephes griseus,Hydrophasianus chirurgus,0
237,Laccotrephes ruber,Hydrophasianus chirurgus,0
238,Ranatra elongata,Hydrophasianus chirurgus,0
239,Ranatra filiformis,Hydrophasianus chirurgus,0
240,Ranatra varipes,Hydrophasianus chirurgus,0
241,Anisops campbelli,Hydrophasianus chirurgus,0
242,Hydrovatus confertus,Hydrophasianus chirurgus,0
243,Fejervarya orissaensis,Anastomus oscitans,0
244,Minervarya agricola,Anastomus oscitans,0
245,Minervarya pierrei,Anastomus oscitans,0
246,Uperodon systoma,Anastomus oscitans,0
247,Polypedates maculatus,Anastomus oscitans,0
248,Parambassis baculis,Anastomus oscitans,0
249,Aplocheilus panchax,Anastomus oscitans,0
250,Badis badis,Anastomus oscitans,0
251,Puntius vittatus,Anastomus oscitans,0
252,Rasbora daniconius,Anastomus oscitans,0
253,Pethia phutunio,Anastomus oscitans,0
254,Trichogaster lalius,Anastomus oscitans,0
255,Trichogaster fasciata,Anastomus oscitans,0
256,Big fish juveniles,Anastomus oscitans,0
257,Parambassis baculis,Mycteria leucocephala,0
258,Aplocheilus panchax,Mycteria leucocephala,0
259,Netuma thalassina,Mycteria leucocephala,0
260,Badis badis,Mycteria leucocephala,0
261,Mystus tengara,Mycteria leucocephala,0
262,Mystus vittatus,Mycteria leucocephala,0
263,Xenentodon cancila,Mycteria leucocephala,0
264,Channa punctata,Mycteria leucocephala,0
265,Channa striata,Mycteria leucocephala,0
266,Channa gachua,Mycteria leucocephala,0
