species,Premonsoon,Postmonsoon,Monsoon
Duttaphrynus melanostictus,0.3875,0.3333333333333333,0.37037037037037035
Nettapus coromandelianus,0.2,0.16161616161616163,
Felis chaus,0.15,0.09090909090909091,0.14814814814814814
Centropus bengalensis,0.2625,0.1717171717171717,0.30864197530864196
Himantopus himantopus,0.1375,0.1111111111111111,0.13580246913580246
Euphlyctis cyanophlyctis,0.4,0.3434343434343434,0.38271604938271603
Anas poecilorhyncha,0.15,0.12121212121212122,
Alona pulchella,0.1875,0.15151515151515152,0.18518518518518517
Mastacembelus armatus,0.3875,0.3333333333333333,0.38271604938271603
Asplanchna brightwelli,0.1875,0.15151515151515152,0.18518518518518517
Glossogobius giuris,0.425,0.35353535353535354,0.41975308641975306
Polypedates maculatus,0.4125,0.36363636363636365,0.3950617283950617
Aquarius adelaides,0.75,0.7878787878787878,0.7407407407407407
Naja naja,0.1375,0.0707070707070707,0.18518518518518517
Hirundo rustica,0.1375,0.1111111111111111,0.13580246913580246
Macrobrachium rosenbergii,0.375,0.42424242424242425,0.35802469135802467
Nycticorax nycticorax,0.375,0.26262626262626265,0.41975308641975306
Ardea alba,0.375,0.26262626262626265,0.41975308641975306
Bungarus fasciatus,0.3125,,0.35802469135802467
Macrobrachium equidens,0.3,0.36363636363636365,0.2839506172839506
Mesocyclops leukarti,0.2,0.16161616161616163,0.19753086419753085
Oreochromis niloticus,0.45,0.37373737373737376,0.4444444444444444
Gallinula chloropus,0.275,0.18181818181818182,
Limnogonus fossarum,0.75,0.7878787878787878,0.7407407407407407
Notopterus notopterus,0.5625,0.47474747474747475,0.5555555555555556
Varanus bengalensis,0.1375,0.0707070707070707,0.18518518518518517
Xenentodon cancila,0.275,0.23232323232323232,0.2716049382716049
Macrobrachium rude,0.4,0.4444444444444444,0.38271604938271603
Amaurornis phoenicurus,0.2625,0.21212121212121213,0.25925925925925924
Big fish juveniles,0.625,0.5959595959595959,0.6172839506172839
Trichogaster lalius,0.6,0.5757575757575758,0.5925925925925926
Aplocheilus panchax,0.5375,0.5252525252525253,0.5308641975308642
Hydrovatus confertus,0.7375,0.7777777777777778,0.7283950617283951
Ardea intermedia,0.375,0.26262626262626265,0.41975308641975306
Channa gachua,0.55,0.41414141414141414,0.5925925925925926
Merops orientalis,0.0125,0.010101010101010102,0.012345679012345678
Dendrocygna javanica,0.2875,0.23232323232323232,0.2839506172839506
Green Algae,0.3375,0.30303030303030304,0.345679012345679
Mycteria leucocephala,0.5375,0.40404040404040403,0.5925925925925926
Ranatra varipes,0.975,0.9797979797979798,0.9753086419753086
Spilornis cheela,0.05,0.030303030303030304,0.04938271604938271
Heteropneustes fossilis,0.3375,0.2828282828282828,0.3333333333333333
Brachionus forficula,0.2125,0.1717171717171717,0.20987654320987653
Detritus,0.1875,0.16161616161616163,0.19753086419753085
Channa punctata,0.6,0.494949494949495,0.5925925925925926
Laccotrephes griseus,0.75,0.7878787878787878,0.7407407407407407
Diplonychus annulatus,0.8625,0.8787878787878788,0.8518518518518519
Microcarbo niger,0.2875,0.20202020202020202,0.345679012345679
Porphyrio poliocephalus,0.15,0.12121212121212122,0.14814814814814814
Ranatra elongata,0.9875,0.98989898989899,0.9876543209876543
Alcedo atthis,0.3125,0.24242424242424243,0.345679012345679
Ceryle rudis,0.3125,0.24242424242424243,0.345679012345679
Channa striata,0.6,0.494949494949495,0.5925925925925926
Bubulcus ibis,0.25,0.20202020202020202,0.24691358024691357
Mystus vittatus,0.2875,0.24242424242424243,0.2839506172839506
Arcella discoides,0.1875,0.15151515151515152,0.18518518518518517
Tachybaptus ruficollis,0.3,0.25252525252525254,0.30864197530864196
Metopidius indicus,0.15,0.12121212121212122,0.14814814814814814
Anastomus oscitans,0.175,0.13131313131313133,0.20987654320987653
Mosquito larvae,0.1625,0.13131313131313133,0.16049382716049382
Herbaceous aquatic plants,0.2375,0.25252525252525254,0.19753086419753085
Hoplobatrachus crassus,0.4875,,0.49382716049382713
Macrothrix goeldi,0.1875,0.15151515151515152,0.18518518518518517
Carp sp.,0.2125,0.18181818181818182,0.20987654320987653
Halcyon smyrnensis,0.3125,0.24242424242424243,0.345679012345679
Anisops campbelli,0.8,0.8282828282828283,0.7901234567901234
Rasbora daniconius,0.625,0.5959595959595959,0.6172839506172839
Hydrophasianus chirurgus,0.15,0.12121212121212122,
Coronatella rectangula,0.1875,0.15151515151515152,0.18518518518518517
Oriolus kundoo,0.0125,0.010101010101010102,0.012345679012345678
Macrothrix spinosa,0.1875,0.15151515151515152,0.18518518518518517
Motacilla citreola,0.1375,0.1111111111111111,0.13580246913580246
Odonata sp.,0.2375,0.23232323232323232,0.25925925925925924
Hoplobatrachus tigerinus,0.5625,0.43434343434343436,0.5925925925925926
Lecane bulla,0.2125,0.1717171717171717,0.20987654320987653
Duttaphrynus scaber,0.375,,0.35802469135802467
Fowlea piscator,0.3,0.1919191919191919,0.30864197530864196
Macrobrachium malcolmsonii,0.375,0.42424242424242425,0.35802469135802467
Diplonychus rusticus,0.8875,0.898989898989899,0.8765432098765432
Ardea purpurea,0.4,0.2828282828282828,0.4444444444444444
Mystus tengara,0.275,0.23232323232323232,0.2716049382716049
Egretta garzetta,0.425,0.30303030303030304,0.4691358024691358
Ranatra filiformis,1.0,1.0,1.0
Lissemys punctata,0.4625,0.3333333333333333,0.5061728395061729
Brachionus calyciflorus,0.2125,0.1717171717171717,0.20987654320987653
Laccotrephes ruber,0.75,0.7878787878787878,0.7407407407407407
Lecane aculeata,0.2125,0.1717171717171717,0.20987654320987653
Netuma thalassina,0.4125,0.3434343434343434,0.4074074074074074
Enhydris enhydris,0.2625,0.18181818181818182,0.2839506172839506
Puntius vittatus,0.5875,0.5656565656565656,0.5802469135802469
Prionailurus viverrinus,0.4,0.30303030303030304,0.3950617283950617
Trichogaster fasciata,0.75,0.6868686868686869,0.7407407407407407
Minervarya agricola,0.45,0.3939393939393939,0.43209876543209874
Macrognathus pancalus,0.525,0.43434343434343436,0.5185185185185185
Coracias benghalensis,0.175,0.10101010101010101,0.2222222222222222
Minervarya pierrei,0.45,,0.43209876543209874
Uperodon systoma,0.45,,0.43209876543209874
Pethia phutunio,0.7625,0.7070707070707071,0.7530864197530864
Acridotheres ginginianus,0.125,0.06060606060606061,0.1728395061728395
Fejervarya orissaensis,0.475,,0.4567901234567901
Haliaeetus leucogaster,0.325,0.25252525252525254,0.32098765432098764
Keratella lenzi,0.2125,0.1717171717171717,0.20987654320987653
Centropyxis aculeata,0.1875,0.15151515151515152,0.18518518518518517
Ardeola grayii,0.425,0.31313131313131315,0.48148148148148145
Parambassis baculis,0.5375,0.5252525252525253,0.5308641975308642
Oriolus xanthornus,0.0125,0.010101010101010102,0.012345679012345678
Vanellus indicus,0.1375,0.1111111111111111,0.13580246913580246
Badis badis,0.7625,0.7070707070707071,0.7530864197530864
Scapholeberis kingi,0.2,0.16161616161616163,0.19753086419753085
Anas acuta,,0.12121212121212122,
Sterna aurantia,,0.25252525252525254,
Tadploes,,0.18181818181818182,0.18518518518518517
Pluvialis fulva,,0.1111111111111111,
Calidris minuta,,0.15151515151515152,
Fulica atra,,0.12121212121212122,
Tadorna ferruginea,,0.1717171717171717,
Tringa tetanus,,0.1111111111111111,
Tringa nebularia,,0.16161616161616163,
Ardea cinerea,,0.43434343434343436,
Merops philippinus,,0.010101010101010102,0.012345679012345678
Chroicocephalus brunnicephalus,,0.24242424242424243,
Vanellus malabaricus,,0.1111111111111111,
Threskiornis melanocephalus,,0.24242424242424243,
Circus aeruginosus,,0.09090909090909091,
Plegadis falcinellus,,0.1717171717171717,
Sternula albifrons,,0.13131313131313133,
Tringa glareola,,0.13131313131313133,
Chlidonias hybrida,,0.25252525252525254,
Tringa ochropus,,0.15151515151515152,
Numenius arquata,,0.1111111111111111,
Netta rufina,,0.13131313131313133,
Dicrurus caerulescens,,0.010101010101010102,
Spatula querquedula,,0.12121212121212122,
Microhyla mymensinghensis,,0.37373737373737376,0.41975308641975306
Phalacrocorax fuscicollis,,0.09090909090909091,
Charadrius dubius,,0.1111111111111111,
Motacilla tschutschensis,,0.1111111111111111,
Tringa stagnatilis,,0.15151515151515152,
Motacilla alba,,0.12121212121212122,
Anhinga melanogaster,,0.09090909090909091,
Xenus cinereus,,0.15151515151515152,
Sphaerotheca rolandae,,,0.345679012345679
Hylarana tytleri,,,0.43209876543209874
Sphaerotheca breviceps,,,0.345679012345679
