species,Premonsoon,Postmonsoon,Monsoon
Scapholeberis kingi,16,16,16
Nettapus coromandelianus,16,16,
Felis chaus,12,9,12
Centropus bengalensis,21,17,25
Himantopus himantopus,11,11,11
Euphlyctis cyanophlyctis,32,34,31
Anas poecilorhyncha,12,12,
Alona pulchella,15,15,15
Mastacembelus armatus,31,33,31
Asplanchna brightwelli,15,15,15
Glossogobius giuris,34,35,34
Polypedates maculatus,33,36,32
Aquarius adelaides,60,78,60
Naja naja,11,7,15
Hirundo rustica,11,11,11
Macrobrachium rosenbergii,30,42,29
Nycticorax nycticorax,30,26,34
Ardea alba,30,26,34
Bungarus fasciatus,25,,29
Macrobrachium equidens,24,36,23
Mesocyclops leukarti,16,16,16
Oreochromis niloticus,36,37,36
Gallinula chloropus,22,18,
Limnogonus fossarum,60,78,60
Notopterus notopterus,45,47,45
Varanus bengalensis,11,7,15
Xenentodon cancila,22,23,22
Macrobrachium rude,32,44,31
Amaurornis phoenicurus,21,21,21
Big fish juveniles,50,59,50
Trichogaster lalius,48,57,48
Aplocheilus panchax,43,52,43
Hydrovatus confertus,59,77,59
Ardea intermedia,30,26,34
Channa gachua,44,41,48
Merops orientalis,1,1,1
Dendrocygna javanica,23,23,23
Green Algae,27,30,28
Mycteria leucocephala,43,40,48
Ranatra varipes,78,97,79
Spilornis cheela,4,3,4
Heteropneustes fossilis,27,28,27
Brachionus forficula,17,17,17
Detritus,15,16,16
Channa punctata,48,49,48
Laccotrephes griseus,60,78,60
Diplonychus annulatus,69,87,69
Microcarbo niger,23,20,28
Porphyrio poliocephalus,12,12,12
Ranatra elongata,79,98,80
Alcedo atthis,25,24,28
Ceryle rudis,25,24,28
Channa striata,48,49,48
Bubulcus ibis,20,20,20
Mystus vittatus,23,24,23
Arcella discoides,15,15,15
Tachybaptus ruficollis,24,25,25
Metopidius indicus,12,12,12
Anastomus oscitans,14,13,17
Mosquito larvae,13,13,13
Herbaceous aquatic plants,19,25,16
Hoplobatrachus crassus,39,,40
Macrothrix goeldi,15,15,15
Carp sp.,17,18,17
Halcyon smyrnensis,25,24,28
Anisops campbelli,64,82,64
Rasbora daniconius,50,59,50
Hydrophasianus chirurgus,12,12,
Coronatella rectangula,15,15,15
Oriolus kundoo,1,1,1
Macrothrix spinosa,15,15,15
Motacilla citreola,11,11,11
Odonata sp.,19,23,21
Hoplobatrachus tigerinus,45,43,48
Lecane bulla,17,17,17
Duttaphrynus scaber,30,,29
Fowlea piscator,24,19,25
Macrobrachium malcolmsonii,30,42,29
Diplonychus rusticus,71,89,71
Ardea purpurea,32,28,36
Mystus tengara,22,23,22
Egretta garzetta,34,30,38
Ranatra filiformis,80,99,81
Lissemys punctata,37,33,41
Brachionus calyciflorus,17,17,17
Laccotrephes ruber,60,78,60
Lecane aculeata,17,17,17
Netuma thalassina,33,34,33
Enhydris enhydris,21,18,23
Puntius vittatus,47,56,47
Prionailurus viverrinus,32,30,32
Trichogaster fasciata,60,68,60
Minervarya agricola,36,39,35
Macrognathus pancalus,42,43,42
Coracias benghalensis,14,10,18
Minervarya pierrei,36,,35
Uperodon systoma,36,,35
Pethia phutunio,61,70,61
Acridotheres ginginianus,10,6,14
Fejervarya orissaensis,38,,37
Haliaeetus leucogaster,26,25,26
Keratella lenzi,17,17,17
Centropyxis aculeata,15,15,15
Ardeola grayii,34,31,39
Parambassis baculis,43,52,43
Oriolus xanthornus,1,1,1
Vanellus indicus,11,11,11
Badis badis,61,70,61
Duttaphrynus melanostictus,31,33,30
Sterna aurantia,,25,
Tadploes,,18,15
Pluvialis fulva,,11,
Calidris minuta,,15,
Fulica atra,,12,
Tadorna ferruginea,,17,
Tringa tetanus,,11,
Tringa nebularia,,16,
Ardea cinerea,,43,
Merops philippinus,,1,1
Chroicocephalus brunnicephalus,,24,
Vanellus malabaricus,,11,
Threskiornis melanocephalus,,24,
Circus aeruginosus,,9,
Plegadis falcinellus,,17,
Sternula albifrons,,13,
Tringa glareola,,13,
Chlidonias hybrida,,25,
Tringa ochropus,,15,
Numenius arquata,,11,
Netta rufina,,13,
Dicrurus caerulescens,,1,
Spatula querquedula,,12,
Microhyla mymensinghensis,,37,34
Phalacrocorax fuscicollis,,9,
Charadrius dubius,,11,
Motacilla tschutschensis,,11,
Tringa stagnatilis,,15,
Motacilla alba,,12,
Anhinga melanogaster,,9,
Xenus cinereus,,15,
Anas acuta,,12,
Sphaerotheca rolandae,,,28
Hylarana tytleri,,,35
Sphaerotheca breviceps,,,28
