species,Premonsoon,Postmonsoon,Monsoon
Scapholeberis kingi,6,2,1
Nettapus coromandelianus,3,1,3
Felis chaus,4,3,3
Centropus bengalensis,6,2,3
Himantopus himantopus,4,1,3
Euphlyctis cyanophlyctis,4,1,2
Anas poecilorhyncha,2,2,4
Alona pulchella,6,2,1
Mastacembelus armatus,6,2,4
Asplanchna brightwelli,6,2,1
Glossogobius giuris,6,2,4
Polypedates maculatus,4,1,2
Aquarius adelaides,7,1,2
Naja naja,3,2,3
Hirundo rustica,1,1,4
Macrobrachium rosenbergii,6,3,1
Nycticorax nycticorax,2,3,1
Ardea alba,5,1,3
Bungarus fasciatus,3,2,3
Macrobrachium equidens,6,3,1
Mesocyclops leukarti,6,2,1
Oreochromis niloticus,6,2,4
Gallinula chloropus,3,2,2
Limnogonus fossarum,7,1,2
Notopterus notopterus,6,2,4
Varanus bengalensis,2,2,3
Xenentodon cancila,6,2,4
Macrobrachium rude,6,3,1
Amaurornis phoenicurus,2,3,1
Big fish juveniles,2,3,1
Trichogaster lalius,2,3,1
Aplocheilus panchax,2,3,1
Hydrovatus confertus,7,1,2
Ardea intermedia,2,2,4
Channa gachua,6,2,4
Merops orientalis,6,3,1
Dendrocygna javanica,1,3,3
Green Algae,6,1,2
Mycteria leucocephala,6,2,2
Ranatra varipes,7,1,2
Spilornis cheela,6,3,3
Heteropneustes fossilis,6,2,4
Brachionus forficula,6,2,1
Detritus,6,2,3
Channa punctata,6,2,4
Laccotrephes griseus,7,1,2
Diplonychus annulatus,7,1,2
Microcarbo niger,2,2,2
Porphyrio poliocephalus,1,3,4
Ranatra elongata,7,1,2
Alcedo atthis,3,3,4
Ceryle rudis,7,1,3
Channa striata,6,2,4
Bubulcus ibis,4,2,2
Mystus vittatus,6,2,4
Arcella discoides,6,2,1
Tachybaptus ruficollis,7,3,2
Metopidius indicus,1,3,2
Anastomus oscitans,4,2,3
Mosquito larvae,7,2,3
Herbaceous aquatic plants,7,2,1
Hoplobatrachus crassus,4,1,2
Macrothrix goeldi,6,2,1
Carp sp.,7,1,1
Halcyon smyrnensis,2,1,3
Anisops campbelli,7,1,2
Rasbora daniconius,2,3,1
Hydrophasianus chirurgus,2,2,3
Coronatella rectangula,6,2,1
Oriolus kundoo,1,1,4
Macrothrix spinosa,6,2,1
Motacilla citreola,3,3,3
Odonata sp.,4,2,4
Hoplobatrachus tigerinus,4,1,2
Lecane bulla,6,2,1
Duttaphrynus scaber,4,1,2
Fowlea piscator,4,1,2
Macrobrachium malcolmsonii,6,3,1
Diplonychus rusticus,7,1,2
Ardea purpurea,3,2,3
Mystus tengara,6,2,4
Egretta garzetta,1,2,4
Ranatra filiformis,7,1,2
Lissemys punctata,6,2,4
Brachionus calyciflorus,6,2,1
Laccotrephes ruber,7,1,2
Lecane aculeata,6,2,1
Netuma thalassina,6,2,4
Enhydris enhydris,4,1,3
Puntius vittatus,2,3,1
Prionailurus viverrinus,1,2,4
Trichogaster fasciata,2,3,1
Minervarya agricola,4,1,2
Macrognathus pancalus,6,2,4
Coracias benghalensis,4,1,1
Minervarya pierrei,4,1,2
Uperodon systoma,4,1,2
Pethia phutunio,2,3,1
Acridotheres ginginianus,3,3,1
Fejervarya orissaensis,4,1,2
Haliaeetus leucogaster,3,2,1
Keratella lenzi,6,2,1
Centropyxis aculeata,6,2,1
Ardeola grayii,7,3,3
Parambassis baculis,2,3,1
Oriolus xanthornus,5,3,4
Vanellus indicus,6,3,2
Badis badis,2,3,1
Duttaphrynus melanostictus,4,1,2
