species,Premonsoon,Postmonsoon,Monsoon
Scapholeberis kingi,15,15,15
Nettapus coromandelianus,0,0,
Felis chaus,0,0,0
Centropus bengalensis,0,0,0
Himantopus himantopus,0,0,0
Euphlyctis cyanophlyctis,21,23,20
Anas poecilorhyncha,0,0,
Alona pulchella,14,14,14
Mastacembelus armatus,7,9,7
Asplanchna brightwelli,14,14,14
Glossogobius giuris,8,9,8
Polypedates maculatus,22,25,21
Aquarius adelaides,59,77,59
Naja naja,2,2,2
Hirundo rustica,0,0,0
Macrobrachium rosenbergii,18,30,17
Nycticorax nycticorax,0,0,0
Ardea alba,0,0,0
Bungarus fasciatus,4,,4
Macrobrachium equidens,18,30,17
Mesocyclops leukarti,15,15,15
Oreochromis niloticus,8,9,8
Gallinula chloropus,0,0,
Limnogonus fossarum,59,77,59
Notopterus notopterus,7,9,7
Varanus bengalensis,0,0,0
Xenentodon cancila,7,8,7
Macrobrachium rude,18,30,17
Amaurornis phoenicurus,0,0,0
Big fish juveniles,33,42,33
Trichogaster lalius,33,42,33
Aplocheilus panchax,32,41,32
Hydrovatus confertus,58,76,58
Ardea intermedia,0,0,0
Channa gachua,7,8,7
Merops orientalis,0,0,0
Dendrocygna javanica,0,0,0
Green Algae,27,30,28
Mycteria leucocephala,0,0,0
Ranatra varipes,59,77,59
Spilornis cheela,0,0,0
Heteropneustes fossilis,7,8,7
Brachionus forficula,16,16,16
Detritus,15,16,16
Channa punctata,8,9,8
Laccotrephes griseus,59,77,59
Diplonychus annulatus,57,75,57
Microcarbo niger,0,0,0
Porphyrio poliocephalus,0,0,0
Ranatra elongata,59,77,59
Alcedo atthis,0,0,0
Ceryle rudis,0,0,0
Channa striata,8,9,8
Bubulcus ibis,0,0,0
Mystus vittatus,8,9,8
Arcella discoides,14,14,14
Tachybaptus ruficollis,0,0,0
Metopidius indicus,0,0,0
Anastomus oscitans,0,0,0
Mosquito larvae,11,11,11
Herbaceous aquatic plants,19,25,16
Hoplobatrachus crassus,21,,20
Macrothrix goeldi,14,14,14
Carp sp.,0,1,0
Halcyon smyrnensis,0,0,0
Anisops campbelli,59,77,59
Rasbora daniconius,32,41,32
Hydrophasianus chirurgus,0,0,
Coronatella rectangula,14,14,14
Oriolus kundoo,0,0,0
Macrothrix spinosa,14,14,14
Motacilla citreola,0,0,0
Odonata sp.,5,8,6
Hoplobatrachus tigerinus,21,24,20
Lecane bulla,16,16,16
Duttaphrynus scaber,19,,18
Fowlea piscator,8,7,8
Macrobrachium malcolmsonii,18,30,17
Diplonychus rusticus,59,77,59
Ardea purpurea,0,0,0
Mystus tengara,8,9,8
Egretta garzetta,0,0,0
Ranatra filiformis,59,77,59
Lissemys punctata,1,1,1
Brachionus calyciflorus,16,16,16
Laccotrephes ruber,59,77,59
Lecane aculeata,16,16,16
Netuma thalassina,7,8,7
Enhydris enhydris,7,6,7
Puntius vittatus,32,41,32
Prionailurus viverrinus,0,0,0
Trichogaster fasciata,32,40,32
Minervarya agricola,25,28,24
Macrognathus pancalus,7,8,7
Coracias benghalensis,1,1,1
Minervarya pierrei,25,,24
Uperodon systoma,25,,24
Pethia phutunio,32,41,32
Acridotheres ginginianus,0,0,0
Fejervarya orissaensis,27,,26
Haliaeetus leucogaster,0,0,0
Keratella lenzi,16,16,16
Centropyxis aculeata,14,14,14
Ardeola grayii,0,0,0
Parambassis baculis,31,40,31
Oriolus xanthornus,0,0,0
Vanellus indicus,0,0,0
Badis badis,32,41,32
Duttaphrynus melanostictus,20,22,19
Sterna aurantia,,0,
Tadploes,,15,12
Pluvialis fulva,,0,
Calidris minuta,,0,
Fulica atra,,0,
Tadorna ferruginea,,0,
Tringa tetanus,,0,
Tringa nebularia,,0,
Ardea cinerea,,0,
Merops philippinus,,0,0
Chroicocephalus brunnicephalus,,0,
Vanellus malabaricus,,0,
Threskiornis melanocephalus,,0,
Circus aeruginosus,,0,
Plegadis falcinellus,,0,
Sternula albifrons,,0,
Tringa glareola,,0,
Chlidonias hybrida,,0,
Tringa ochropus,,0,
Numenius arquata,,0,
Netta rufina,,0,
Dicrurus caerulescens,,0,
Spatula querquedula,,0,
Microhyla mymensinghensis,,26,23
Phalacrocorax fuscicollis,,0,
Charadrius dubius,,0,
Motacilla tschutschensis,,0,
Tringa stagnatilis,,0,
Motacilla alba,,0,
Anhinga melanogaster,,0,
Xenus cinereus,,0,
Anas acuta,,0,
Sphaerotheca rolandae,,,17
Hylarana tytleri,,,24
Sphaerotheca breviceps,,,17
