species,TL,webname,degree,indegree,outdegree,omnivory,web
Acridotheres ginginianus,5.371035611689342,Premonsoon,10,0,10,0.2755193052736256,Premonsoon
Alcedo atthis,4.630602706723651,Premonsoon,25,0,25,9.728591026077991,Premonsoon
Alona pulchella,2.0,Premonsoon,15,14,1,0.0,Premonsoon
Amaurornis phoenicurus,4.34787080279453,Premonsoon,21,0,21,12.783035743968393,Premonsoon
Anas poecilorhyncha,4.100959815057787,Premonsoon,12,0,12,8.647487613196228,Premonsoon
Anastomus oscitans,4.896682134814128,Premonsoon,14,0,14,3.6437392324560562,Premonsoon
Anisops campbelli,3.0,Premonsoon,64,59,5,0.0,Premonsoon
Aplocheilus panchax,4.291956161881224,Premonsoon,43,32,11,3.8321798192096965,Premonsoon
Aquarius adelaides,3.0,Premonsoon,60,59,1,0.0,Premonsoon
Arcella discoides,2.0,Premonsoon,15,14,1,0.0,Premonsoon
Ardea alba,4.76718809918595,Premonsoon,30,0,30,12.739910152644212,Premonsoon
Ardea intermedia,4.767188099185951,Premonsoon,30,0,30,12.739910152644212,Premonsoon
Ardea purpurea,4.8408700360850085,Premonsoon,32,0,32,15.350727579573418,Premonsoon
Ardeola grayii,4.73679105703022,Premonsoon,34,0,34,14.391964246672684,Premonsoon
Asplanchna brightwelli,2.0,Premonsoon,15,14,1,0.0,Premonsoon
Badis badis,3.698164508418701,Premonsoon,61,32,29,18.579769775430602,Premonsoon
Big fish juveniles,2.8235294117647056,Premonsoon,50,33,17,2.470588235294116,Premonsoon
Brachionus calyciflorus,2.0,Premonsoon,17,16,1,0.0,Premonsoon
Brachionus forficula,2.0,Premonsoon,17,16,1,0.0,Premonsoon
Bubulcus ibis,4.465264342934256,Premonsoon,20,0,20,6.99491357202261,Premonsoon
Bungarus fasciatus,5.128396351144133,Premonsoon,25,4,21,6.468077887255154,Premonsoon
Carp sp.,2.8235294117647043,Premonsoon,17,0,17,2.470588235294116,Premonsoon
Centropus bengalensis,4.805803518932708,Premonsoon,21,0,21,10.207002481140517,Premonsoon
