web,motif,species,count
Premonsoon,S1,Acridotheres ginginianus,112
Premonsoon,S1,Alcedo atthis,111
Premonsoon,S1,Alona pulchella,216
Premonsoon,S1,Amaurornis phoenicurus,109
Premonsoon,S1,Anas poecilorhyncha,20
Premonsoon,S1,Anastomus oscitans,209
Premonsoon,S1,Anisops campbelli,439
Premonsoon,S1,Aplocheilus panchax,97
Premonsoon,S1,Aquarius adelaides,223
Premonsoon,S1,Arcella discoides,216
Premonsoon,S1,Ardea alba,113
Premonsoon,S1,Ardea intermedia,113
Premonsoon,S1,Ardea purpurea,111
Premonsoon,S1,Ardeola grayii,123
Premonsoon,S1,Asplanchna brightwelli,216
Premonsoon,S1,Badis badis,555
Premonsoon,S1,Big fish juveniles,604
Premonsoon,S1,Brachionus calyciflorus,284
Premonsoon,S1,Brachionus forficula,284
Premonsoon,S1,Bubulcus ibis,111
Premonsoon,S1,Bungarus fasciatus,267
Premonsoon,S1,Carp sp.,0
Premonsoon,S1,Centropus bengalensis,22
Premonsoon,S1,Centropyxis aculeata,216
Premonsoon,S1,Ceryle rudis,111
Premonsoon,S1,Channa gachua,237
Premonsoon,S1,Channa punctata,291
Premonsoon,S1,Channa striata,291
Premonsoon,S1,Coracias benghalensis,146
Premonsoon,S1,Coronatella rectangula,216
Premonsoon,S1,Dendrocygna javanica,393
Premonsoon,S1,Detritus,190
Premonsoon,S1,Diplonychus annulatus,249
Premonsoon,S1,Diplonychus rusticus,229
Premonsoon,S1,Duttaphrynus melanostictus,108
Premonsoon,S1,Duttaphrynus scaber,110
Premonsoon,S1,Egretta garzetta,123
Premonsoon,S1,Enhydris enhydris,290
Premonsoon,S1,Euphlyctis cyanophlyctis,112
Premonsoon,S1,Fejervarya orissaensis,145
Premonsoon,S1,Felis chaus,224
Premonsoon,S1,Fowlea piscator,247
Premonsoon,S1,Gallinula chloropus,22
Premonsoon,S1,Glossogobius giuris,205
Premonsoon,S1,Green Algae,282
Premonsoon,S1,Halcyon smyrnensis,111
Premonsoon,S1,Haliaeetus leucogaster,429
Premonsoon,S1,Herbaceous aquatic plants,77
Premonsoon,S1,Heteropneustes fossilis,162
Premonsoon,S1,Himantopus himantopus,20
Premonsoon,S1,Hirundo rustica,20
Premonsoon,S1,Hoplobatrachus crassus,127
Premonsoon,S1,Hoplobatrachus tigerinus,130
Premonsoon,S1,Hydrophasianus chirurgus,20
Premonsoon,S1,Hydrovatus confertus,238
Premonsoon,S1,Keratella lenzi,284
Premonsoon,S1,Laccotrephes griseus,223
Premonsoon,S1,Laccotrephes ruber,223
Premonsoon,S1,Lecane aculeata,284
Premonsoon,S1,Lecane bulla,284
Premonsoon,S1,Limnogonus fossarum,223
Premonsoon,S1,Lissemys punctata,155
Premonsoon,S1,Macrobrachium equidens,175
Premonsoon,S1,Macrobrachium malcolmsonii,156
Premonsoon,S1,Macrobrachium rosenbergii,156
Premonsoon,S1,Macrobrachium rude,301
Premonsoon,S1,Macrognathus pancalus,190
Premonsoon,S1,Macrothrix goeldi,216
Premonsoon,S1,Macrothrix spinosa,216
Premonsoon,S1,Mastacembelus armatus,179
Premonsoon,S1,Merops orientalis,14
Premonsoon,S1,Mesocyclops leukarti,242
Premonsoon,S1,Metopidius indicus,20
Premonsoon,S1,Microcarbo niger,298
Premonsoon,S1,Minervarya agricola,148
Premonsoon,S1,Minervarya pierrei,139
Premonsoon,S1,Mosquito larvae,508
Premonsoon,S1,Motacilla citreola,20
Premonsoon,S1,Mycteria leucocephala,252
Premonsoon,S1,Mystus tengara,126
Premonsoon,S1,Mystus vittatus,118
Premonsoon,S1,Naja naja,120
Premonsoon,S1,Nettapus coromandelianus,42
Premonsoon,S1,Netuma thalassina,392
