"","Channa punctata","Felis chaus","Channa striata","Mystus tengara","Mystus vittatus","Glossogobius giuris","Oreochromis niloticus","Duttaphrynus melanostictus","Minervarya agricola","Hoplobatrachus tigerinus","Netuma thalassina","Prionailurus viverrinus","Macrognathus pancalus","Xenentodon cancila","Channa gachua","Heteropneustes fossilis","Mastacembelus armatus","Notopterus notopterus","Trichogaster lalius","Trichogaster fasciata","Diplonychus annulatus","Diplonychus rusticus","Aquarius adelaides","Limnogonus fossarum","Laccotrephes griseus","Laccotrephes ruber","Ranatra elongata","Ranatra filiformis","Ranatra varipes","Anisops campbelli","Euphlyctis cyanophlyctis","Lissemys punctata","Big fish juveniles","Parambassis baculis","Dendrocygna javanica","Aplocheilus panchax","Badis badis","Puntius vittatus","Rasbora daniconius","Pethia phutunio","Pila globosa","Filopaludina bengalensis","Idiopoma dissimilis","Melanoides tuberculata","Tarebia lineata","Bithynia pulchella","Gabbia orcula","Radix rufescens","Racesina luteola","Herbaceous aquatic plants","Tadorna ferruginea","Green Algae","Gyraulus barrackporensis","Gyraulus convexiusculus","Gyraulus euphraticus","Indoplanorbis exustus","Macrobrachium malcolmsonii","Macrobrachium rosenbergii","Macrobrachium rude","Macrobrachium equidens","Hydrovatus confertus","Nettapus coromandelianus","Spatula querquedula","Anas poecilorhyncha","Anas acuta","Netta rufina","Tachybaptus ruficollis","Tadploes","Centropus bengalensis","Microhyla mymensinghensis","Polypedates maculatus","Gallinula chloropus","Fulica atra","Porphyrio poliocephalus","Amaurornis phoenicurus","Himantopus himantopus","Pluvialis fulva","Charadrius dubius","Vanellus malabaricus","Vanellus indicus","Metopidius indicus","Hydrophasianus chirurgus","Numenius arquata","Calidris minuta","Xenus cinereus","Tringa ochropus","Tringa nebularia","Tringa stagnatilis","Tringa glareola","Tringa tetanus","Chroicocephalus brunnicephalus","Sternula albifrons","Chlidonias hybrida","Sterna aurantia","Anastomus oscitans","Mycteria leucocephala","Anhinga melanogaster","Microcarbo niger","Phalacrocorax fuscicollis","Ardea cinerea","Ardea purpurea","Enhydris enhydris","Fowlea piscator","Ardea alba","Ardea intermedia","Egretta garzetta","Bubulcus ibis","Ardeola grayii","Nycticorax nycticorax","Plegadis falcinellus","Threskiornis melanocephalus","Haliaeetus leucogaster","Naja naja","Spilornis cheela","Circus aeruginosus","Carp sp.","Alcedo atthis","Halcyon smyrnensis","Ceryle rudis","Odonata sp.","Merops orientalis","Merops philippinus","Coracias benghalensis","Oriolus kundoo","Oriolus xanthornus","Dicrurus caerulescens","Hirundo rustica","Acridotheres ginginianus","Motacilla citreola","Motacilla tschutschensis","Motacilla alba","Varanus bengalensis","Detritus","Mosquito larvae","Arcella discoides","Centropyxis aculeata","Brachionus calyciflorus","Brachionus forficula","Keratella lenzi","Lecane aculeata","Lecane bulla","Asplanchna brightwelli","Mesocyclops leukarti","Scapholeberis kingi","Macrothrix spinosa","Macrothrix goeldi","Alona pulchella","Coronatella rectangula"
"Channa punctata",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Felis chaus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Channa striata",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mystus tengara",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mystus vittatus",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glossogobius giuris",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oreochromis niloticus",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duttaphrynus melanostictus",0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Minervarya agricola",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoplobatrachus tigerinus",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
