"","PREY_sp","PREDATOR_sp"
"1","Channa punctata","Felis chaus"
"2","Channa striata","Felis chaus"
"3","Mystus tengara","Felis chaus"
"4","Mystus vittatus","Felis chaus"
"5","Glossogobius giuris","Felis chaus"
"6","Oreochromis niloticus","Felis chaus"
"7","Duttaphrynus melanostictus","Felis chaus"
"8","Minervarya agricola","Felis chaus"
"9","Hoplobatrachus tigerinus","Felis chaus"
"10","Netuma thalassina","Prionailurus viverrinus"
"11","Macrognathus pancalus","Prionailurus viverrinus"
"12","Mystus tengara","Prionailurus viverrinus"
"13","Mystus vittatus","Prionailurus viverrinus"
"14","Xenentodon cancila","Prionailurus viverrinus"
"15","Channa punctata","Prionailurus viverrinus"
"16","Channa striata","Prionailurus viverrinus"
"17","Channa gachua","Prionailurus viverrinus"
"18","Oreochromis niloticus","Prionailurus viverrinus"
"19","Glossogobius giuris","Prionailurus viverrinus"
"20","Heteropneustes fossilis","Prionailurus viverrinus"
"21","Mastacembelus armatus","Prionailurus viverrinus"
"22","Notopterus notopterus","Prionailurus viverrinus"
"23","Trichogaster lalius","Prionailurus viverrinus"
"24","Trichogaster fasciata","Prionailurus viverrinus"
"25","Diplonychus annulatus","Prionailurus viverrinus"
"26","Diplonychus rusticus","Prionailurus viverrinus"
"27","Aquarius adelaides","Prionailurus viverrinus"
"28","Limnogonus fossarum","Prionailurus viverrinus"
"29","Laccotrephes griseus","Prionailurus viverrinus"
"30","Laccotrephes ruber","Prionailurus viverrinus"
"31","Ranatra elongata","Prionailurus viverrinus"
"32","Ranatra filiformis","Prionailurus viverrinus"
"33","Ranatra varipes","Prionailurus viverrinus"
"34","Anisops campbelli","Prionailurus viverrinus"
"35","Duttaphrynus melanostictus","Prionailurus viverrinus"
"36","Euphlyctis cyanophlyctis","Prionailurus viverrinus"
"37","Hoplobatrachus tigerinus","Prionailurus viverrinus"
"38","Lissemys punctata","Prionailurus viverrinus"
"39","Big fish juveniles","Prionailurus viverrinus"
"40","Parambassis baculis","Dendrocygna javanica"
"41","Aplocheilus panchax","Dendrocygna javanica"
"42","Netuma thalassina","Dendrocygna javanica"
"43","Badis badis","Dendrocygna javanica"
"44","Mystus tengara","Dendrocygna javanica"
"45","Mystus vittatus","Dendrocygna javanica"
"46","Xenentodon cancila","Dendrocygna javanica"
"47","Channa punctata","Dendrocygna javanica"
"48","Channa striata","Dendrocygna javanica"
"49","Channa gachua","Dendrocygna javanica"
"50","Oreochromis niloticus","Dendrocygna javanica"
"51","Puntius vittatus","Dendrocygna javanica"
"52","Rasbora daniconius","Dendrocygna javanica"
"53","Pethia phutunio","Dendrocygna javanica"
"54","Glossogobius giuris","Dendrocygna javanica"
"55","Heteropneustes fossilis","Dendrocygna javanica"
"56","Macrognathus pancalus","Dendrocygna javanica"
"57","Mastacembelus armatus","Dendrocygna javanica"
"58","Notopterus notopterus","Dendrocygna javanica"
"59","Trichogaster lalius","Dendrocygna javanica"
"60","Trichogaster fasciata","Dendrocygna javanica"
"61","Pila globosa","Dendrocygna javanica"
"62","Filopaludina bengalensis","Dendrocygna javanica"
"63","Idiopoma dissimilis","Dendrocygna javanica"
"64","Melanoides tuberculata","Dendrocygna javanica"
"65","Tarebia lineata","Dendrocygna javanica"
"66","Bithynia pulchella","Dendrocygna javanica"
"67","Gabbia orcula","Dendrocygna javanica"
"68","Radix rufescens","Dendrocygna javanica"
"69","Racesina luteola","Dendrocygna javanica"
"70","Herbaceous aquatic plants","Dendrocygna javanica"
"71","Big fish juveniles","Dendrocygna javanica"
"72","Herbaceous aquatic plants","Tadorna ferruginea"
"73","Green Algae","Tadorna ferruginea"
"74","Pila globosa","Tadorna ferruginea"
"75","Filopaludina bengalensis","Tadorna ferruginea"
"76","Melanoides tuberculata","Tadorna ferruginea"
"77","Tarebia lineata","Tadorna ferruginea"
"78","Bithynia pulchella","Tadorna ferruginea"
"79","Gabbia orcula","Tadorna ferruginea"
"80","Radix rufescens","Tadorna ferruginea"
"81","Racesina luteola","Tadorna ferruginea"
"82","Gyraulus barrackporensis","Tadorna ferruginea"
"83","Gyraulus convexiusculus","Tadorna ferruginea"
"84","Gyraulus euphraticus","Tadorna ferruginea"
"85","Indoplanorbis exustus","Tadorna ferruginea"
"86","Macrobrachium malcolmsonii","Tadorna ferruginea"
"87","Macrobrachium rosenbergii","Tadorna ferruginea"
"88","Macrobrachium rude","Tadorna ferruginea"
