"","Channa punctata","Felis chaus","Channa striata","Mystus tengara","Mystus vittatus","Glossogobius giuris","Oreochromis niloticus","Duttaphrynus melanostictus","Duttaphrynus scaber","Fejervarya orissaensis","Minervarya agricola","Hoplobatrachus tigerinus","Hoplobatrachus crassus","Netuma thalassina","Prionailurus viverrinus","Macrognathus pancalus","Xenentodon cancila","Channa gachua","Heteropneustes fossilis","Mastacembelus armatus","Notopterus notopterus","Trichogaster lalius","Trichogaster fasciata","Diplonychus annulatus","Diplonychus rusticus","Aquarius adelaides","Limnogonus fossarum","Laccotrephes griseus","Laccotrephes ruber","Ranatra elongata","Ranatra filiformis","Ranatra varipes","Anisops campbelli","Euphlyctis cyanophlyctis","Lissemys punctata","Big fish juveniles","Parambassis baculis","Dendrocygna javanica","Aplocheilus panchax","Badis badis","Puntius vittatus","Rasbora daniconius","Pethia phutunio","Pila globosa","Filopaludina bengalensis","Idiopoma dissimilis","Melanoides tuberculata","Tarebia lineata","Bithynia pulchella","Gabbia orcula","Radix rufescens","Racesina luteola","Herbaceous aquatic plants","Nettapus coromandelianus","Macrobrachium malcolmsonii","Macrobrachium rosenbergii","Macrobrachium rude","Macrobrachium equidens","Hydrovatus confertus","Anas poecilorhyncha","Tachybaptus ruficollis","Gyraulus barrackporensis","Gyraulus convexiusculus","Gyraulus euphraticus","Indoplanorbis exustus","Centropus bengalensis","Minervarya pierrei","Uperodon systoma","Polypedates maculatus","Gallinula chloropus","Porphyrio poliocephalus","Amaurornis phoenicurus","Himantopus himantopus","Vanellus indicus","Metopidius indicus","Hydrophasianus chirurgus","Anastomus oscitans","Mycteria leucocephala","Microcarbo niger","Ardea purpurea","Enhydris enhydris","Fowlea piscator","Ardea alba","Ardea intermedia","Egretta garzetta","Bubulcus ibis","Ardeola grayii","Nycticorax nycticorax","Haliaeetus leucogaster","Bungarus fasciatus","Naja naja","Spilornis cheela","Alcedo atthis","Halcyon smyrnensis","Ceryle rudis","Odonata sp.","Merops orientalis","Coracias benghalensis","Oriolus kundoo","Oriolus xanthornus","Hirundo rustica","Acridotheres ginginianus","Motacilla citreola","Varanus bengalensis","Detritus","Mosquito larvae","Arcella discoides","Centropyxis aculeata","Brachionus calyciflorus","Brachionus forficula","Keratella lenzi","Lecane aculeata","Lecane bulla","Asplanchna brightwelli","Mesocyclops leukarti","Scapholeberis kingi","Macrothrix spinosa","Macrothrix goeldi","Alona pulchella","Coronatella rectangula","Green Algae","Carp sp."
"Channa punctata",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Felis chaus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Channa striata",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mystus tengara",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mystus vittatus",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glossogobius giuris",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oreochromis niloticus",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duttaphrynus melanostictus",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duttaphrynus scaber",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fejervarya orissaensis",0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
