species,Premonsoon,Postmonsoon,Monsoon
Badis badis,0.782051282051282,0.7216494845360825,0.7721518987341772
Nettapus coromandelianus,0.20512820512820512,0.16494845360824742,
Felis chaus,0.15384615384615385,0.09278350515463918,0.1518987341772152
Centropus bengalensis,0.4230769230769231,0.29896907216494845,0.46835443037974683
Himantopus himantopus,0.2948717948717949,0.23711340206185566,0.2911392405063291
Euphlyctis cyanophlyctis,0.41025641025641024,0.35051546391752575,0.3924050632911392
Mastacembelus armatus,0.3974358974358974,0.3402061855670103,0.3924050632911392
Anas poecilorhyncha,0.15384615384615385,0.12371134020618557,
Alona pulchella,0.19230769230769232,0.15463917525773196,0.189873417721519
Asplanchna brightwelli,0.19230769230769232,0.15463917525773196,0.189873417721519
Glossogobius giuris,0.5897435897435898,0.4845360824742268,0.5822784810126582
Polypedates maculatus,0.4230769230769231,0.3711340206185567,0.4050632911392405
Aquarius adelaides,0.7692307692307693,0.8041237113402062,0.759493670886076
Naja naja,0.14102564102564102,0.07216494845360824,0.189873417721519
Hirundo rustica,0.14102564102564102,0.1134020618556701,0.13924050632911392
Macrobrachium rosenbergii,0.38461538461538464,0.4329896907216495,0.3670886075949367
Nycticorax nycticorax,0.38461538461538464,0.26804123711340205,0.43037974683544306
Ardea alba,0.38461538461538464,0.26804123711340205,0.43037974683544306
Oreochromis niloticus,0.46153846153846156,0.38144329896907214,0.45569620253164556
Macrobrachium equidens,0.3076923076923077,0.3711340206185567,0.2911392405063291
Bungarus fasciatus,0.32051282051282054,,0.3670886075949367
Mesocyclops leukarti,0.20512820512820512,0.16494845360824742,0.20253164556962025
Gallinula chloropus,0.28205128205128205,0.18556701030927836,
Notopterus notopterus,0.717948717948718,0.5979381443298969,0.7088607594936709
Limnogonus fossarum,0.7692307692307693,0.8041237113402062,0.759493670886076
Varanus bengalensis,0.14102564102564102,0.07216494845360824,0.189873417721519
Melanoides tuberculata,0.3076923076923077,0.4020618556701031,0.2911392405063291
Xenentodon cancila,0.28205128205128205,0.23711340206185566,0.27848101265822783
Racesina luteola,0.3076923076923077,0.4020618556701031,0.2911392405063291
Gyraulus euphraticus,0.2948717948717949,0.3917525773195876,0.27848101265822783
Indoplanorbis exustus,0.28205128205128205,0.38144329896907214,0.26582278481012656
Radix rufescens,0.3076923076923077,0.4020618556701031,0.2911392405063291
Macrobrachium rude,0.41025641025641024,0.4536082474226804,0.3924050632911392
Amaurornis phoenicurus,0.4230769230769231,0.3402061855670103,0.4177215189873418
Big fish juveniles,0.6410256410256411,0.6082474226804123,0.6329113924050633
Trichogaster lalius,0.6153846153846154,0.5876288659793815,0.6075949367088608
Idiopoma dissimilis,0.038461538461538464,0.030927835051546393,0.0379746835443038
Aplocheilus panchax,0.5512820512820513,0.5360824742268041,0.5443037974683544
Hydrovatus confertus,0.7564102564102564,0.7938144329896907,0.7468354430379747
Channa gachua,0.717948717948718,0.5463917525773195,0.759493670886076
Ardea intermedia,0.38461538461538464,0.26804123711340205,0.43037974683544306
Merops orientalis,0.01282051282051282,0.010309278350515464,0.012658227848101266
Ranatra varipes,0.9743589743589743,0.979381443298969,0.9746835443037974
Dendrocygna javanica,0.41025641025641024,0.32989690721649484,0.4050632911392405
Mycteria leucocephala,0.5512820512820513,0.41237113402061853,0.6075949367088608
Spilornis cheela,0.05128205128205128,0.030927835051546393,0.05063291139240506
Green Algae,0.34615384615384615,0.30927835051546393,0.35443037974683544
Heteropneustes fossilis,0.34615384615384615,0.28865979381443296,0.34177215189873417
Brachionus forficula,0.21794871794871795,0.17525773195876287,0.21518987341772153
Laccotrephes griseus,0.7692307692307693,0.8041237113402062,0.759493670886076
Channa punctata,0.7307692307692307,0.5979381443298969,0.7215189873417721
Porphyrio poliocephalus,0.3076923076923077,0.24742268041237114,0.3037974683544304
Diplonychus annulatus,0.8717948717948718,0.8865979381443299,0.8607594936708861
Ranatra elongata,0.9871794871794872,0.9896907216494846,0.9873417721518988
Pila globosa,0.3076923076923077,0.4020618556701031,0.2911392405063291
Filopaludina bengalensis,0.3076923076923077,0.4020618556701031,0.2911392405063291
Bithynia pulchella,0.3076923076923077,0.4020618556701031,0.2911392405063291
Microcarbo niger,0.2948717948717949,0.20618556701030927,0.35443037974683544
Alcedo atthis,0.32051282051282054,0.24742268041237114,0.35443037974683544
Detritus,0.358974358974359,0.29896907216494845,0.3670886075949367
Ceryle rudis,0.32051282051282054,0.24742268041237114,0.35443037974683544
Channa striata,0.7307692307692307,0.5979381443298969,0.7215189873417721
Bubulcus ibis,0.2564102564102564,0.20618556701030927,0.25316455696202533
Gyraulus convexiusculus,0.2948717948717949,0.3917525773195876,0.27848101265822783
Tarebia lineata,0.3076923076923077,0.4020618556701031,0.2911392405063291
Mystus vittatus,0.2948717948717949,0.24742268041237114,0.2911392405063291
Gyraulus barrackporensis,0.2948717948717949,0.3917525773195876,0.27848101265822783
Arcella discoides,0.19230769230769232,0.15463917525773196,0.189873417721519
Tachybaptus ruficollis,0.46153846153846156,0.38144329896907214,0.46835443037974683
Metopidius indicus,0.3076923076923077,0.24742268041237114,0.3037974683544304
Anastomus oscitans,0.3333333333333333,0.25773195876288657,0.3670886075949367
Mosquito larvae,0.16666666666666666,0.13402061855670103,0.16455696202531644
Hoplobatrachus crassus,0.5,,0.5063291139240507
Herbaceous aquatic plants,0.41025641025641024,0.3917525773195876,0.3670886075949367
Gabbia orcula,0.3076923076923077,0.4020618556701031,0.2911392405063291
Macrothrix goeldi,0.19230769230769232,0.15463917525773196,0.189873417721519
Carp sp.,0.21794871794871795,0.18556701030927836,0.21518987341772153
Halcyon smyrnensis,0.32051282051282054,0.24742268041237114,0.35443037974683544
Anisops campbelli,0.8205128205128205,0.845360824742268,0.810126582278481
Rasbora daniconius,0.6410256410256411,0.6082474226804123,0.6329113924050633
Hydrophasianus chirurgus,0.3076923076923077,0.24742268041237114,
Coronatella rectangula,0.19230769230769232,0.15463917525773196,0.189873417721519
Oriolus kundoo,0.01282051282051282,0.010309278350515464,0.012658227848101266
Macrothrix spinosa,0.19230769230769232,0.15463917525773196,0.189873417721519
Motacilla citreola,0.14102564102564102,0.1134020618556701,0.13924050632911392
Odonata sp.,0.24358974358974358,0.23711340206185566,0.26582278481012656
Hoplobatrachus tigerinus,0.5512820512820513,0.422680412371134,0.5822784810126582
Lecane bulla,0.21794871794871795,0.17525773195876287,0.21518987341772153
Duttaphrynus scaber,0.5384615384615384,,0.5189873417721519
Macrobrachium malcolmsonii,0.38461538461538464,0.4329896907216495,0.3670886075949367
Fowlea piscator,0.3076923076923077,0.1958762886597938,0.31645569620253167
Diplonychus rusticus,0.8846153846153846,0.8969072164948454,0.8734177215189873
Ardea purpurea,0.41025641025641024,0.28865979381443296,0.45569620253164556
Mystus tengara,0.28205128205128205,0.23711340206185566,0.27848101265822783
Egretta garzetta,0.4358974358974359,0.30927835051546393,0.4810126582278481
Ranatra filiformis,1.0,1.0,1.0
Lissemys punctata,0.6282051282051282,0.4639175257731959,0.6708860759493671
Laccotrephes ruber,0.7692307692307693,0.8041237113402062,0.759493670886076
Brachionus calyciflorus,0.21794871794871795,0.17525773195876287,0.21518987341772153
Lecane aculeata,0.21794871794871795,0.17525773195876287,0.21518987341772153
Netuma thalassina,0.5512820512820513,0.4536082474226804,0.5443037974683544
Enhydris enhydris,0.2692307692307692,0.18556701030927836,0.2911392405063291
Puntius vittatus,0.6025641025641025,0.5773195876288659,0.5949367088607594
Prionailurus viverrinus,0.41025641025641024,0.30927835051546393,0.4050632911392405
Trichogaster fasciata,0.7692307692307693,0.7010309278350515,0.759493670886076
Minervarya agricola,0.6153846153846154,0.5257731958762887,0.5949367088607594
Macrognathus pancalus,0.6923076923076923,0.5670103092783505,0.6835443037974683
Minervarya pierrei,0.6153846153846154,,0.5949367088607594
