species,Premonsoon,Postmonsoon,Monsoon
Scapholeberis kingi,16,16,16
Nettapus coromandelianus,16,16,
Felis chaus,12,9,12
Centropus bengalensis,33,29,37
Himantopus himantopus,23,23,23
Euphlyctis cyanophlyctis,32,34,31
Mastacembelus armatus,31,33,31
Anas poecilorhyncha,12,12,
Alona pulchella,15,15,15
Asplanchna brightwelli,15,15,15
Glossogobius giuris,46,47,46
Polypedates maculatus,33,36,32
Aquarius adelaides,60,78,60
Naja naja,11,7,15
Hirundo rustica,11,11,11
Macrobrachium rosenbergii,30,42,29
Nycticorax nycticorax,30,26,34
Ardea alba,30,26,34
Oreochromis niloticus,36,37,36
Macrobrachium equidens,24,36,23
Bungarus fasciatus,25,,29
Mesocyclops leukarti,16,16,16
Gallinula chloropus,22,18,
Notopterus notopterus,56,58,56
Limnogonus fossarum,60,78,60
Varanus bengalensis,11,7,15
Melanoides tuberculata,24,39,23
Xenentodon cancila,22,23,22
Racesina luteola,24,39,23
Gyraulus euphraticus,23,38,22
Indoplanorbis exustus,22,37,21
Radix rufescens,24,39,23
Macrobrachium rude,32,44,31
Amaurornis phoenicurus,33,33,33
Big fish juveniles,50,59,50
Trichogaster lalius,48,57,48
Idiopoma dissimilis,3,3,3
Aplocheilus panchax,43,52,43
Hydrovatus confertus,59,77,59
Channa gachua,56,53,60
Ardea intermedia,30,26,34
Merops orientalis,1,1,1
Ranatra varipes,76,95,77
Dendrocygna javanica,32,32,32
Mycteria leucocephala,43,40,48
Spilornis cheela,4,3,4
Green Algae,27,30,28
Heteropneustes fossilis,27,28,27
Brachionus forficula,17,17,17
Laccotrephes griseus,60,78,60
Channa punctata,57,58,57
Porphyrio poliocephalus,24,24,24
Diplonychus annulatus,68,86,68
Ranatra elongata,77,96,78
Pila globosa,24,39,23
Filopaludina bengalensis,24,39,23
Bithynia pulchella,24,39,23
Microcarbo niger,23,20,28
Alcedo atthis,25,24,28
Detritus,28,29,29
Ceryle rudis,25,24,28
Channa striata,57,58,57
Bubulcus ibis,20,20,20
Gyraulus convexiusculus,23,38,22
Tarebia lineata,24,39,23
Mystus vittatus,23,24,23
Gyraulus barrackporensis,23,38,22
Arcella discoides,15,15,15
Tachybaptus ruficollis,36,37,37
Metopidius indicus,24,24,24
Anastomus oscitans,26,25,29
Mosquito larvae,13,13,13
Hoplobatrachus crassus,39,,40
Herbaceous aquatic plants,32,38,29
Gabbia orcula,24,39,23
Macrothrix goeldi,15,15,15
Carp sp.,17,18,17
Halcyon smyrnensis,25,24,28
Anisops campbelli,64,82,64
Rasbora daniconius,50,59,50
Hydrophasianus chirurgus,24,24,
Coronatella rectangula,15,15,15
Oriolus kundoo,1,1,1
Macrothrix spinosa,15,15,15
Motacilla citreola,11,11,11
Odonata sp.,19,23,21
Hoplobatrachus tigerinus,43,41,46
Lecane bulla,17,17,17
Duttaphrynus scaber,42,,41
Macrobrachium malcolmsonii,30,42,29
Fowlea piscator,24,19,25
Diplonychus rusticus,69,87,69
Ardea purpurea,32,28,36
Mystus tengara,22,23,22
Egretta garzetta,34,30,38
Ranatra filiformis,78,97,79
Lissemys punctata,49,45,53
Laccotrephes ruber,60,78,60
Brachionus calyciflorus,17,17,17
Lecane aculeata,17,17,17
Netuma thalassina,43,44,43
Enhydris enhydris,21,18,23
Puntius vittatus,47,56,47
Prionailurus viverrinus,32,30,32
Trichogaster fasciata,60,68,60
Minervarya agricola,48,51,47
Macrognathus pancalus,54,55,54
Minervarya pierrei,48,,47
Coracias benghalensis,13,9,17
Uperodon systoma,36,,35
Pethia phutunio,61,70,61
Parambassis baculis,43,52,43
Fejervarya orissaensis,38,,37
Haliaeetus leucogaster,26,25,26
Acridotheres ginginianus,10,6,14
Centropyxis aculeata,15,15,15
Ardeola grayii,34,31,39
Keratella lenzi,17,17,17
Oriolus xanthornus,1,1,1
Vanellus indicus,23,23,23
Duttaphrynus melanostictus,43,45,42
Badis badis,61,70,61
Anas acuta,,24,
Sterna aurantia,,25,
Tadploes,,18,15
Pluvialis fulva,,23,
Calidris minuta,,27,
Fulica atra,,24,
Tadorna ferruginea,,29,
Tringa tetanus,,23,
Tringa nebularia,,28,
Ardea cinerea,,55,
Merops philippinus,,1,1
Chroicocephalus brunnicephalus,,24,
Vanellus malabaricus,,23,
Threskiornis melanocephalus,,36,
Circus aeruginosus,,9,
Sternula albifrons,,13,
Plegadis falcinellus,,29,
Tringa glareola,,25,
Chlidonias hybrida,,25,
Tringa ochropus,,27,
Numenius arquata,,23,
Netta rufina,,13,
Dicrurus caerulescens,,1,
Spatula querquedula,,24,
Microhyla mymensinghensis,,37,34
Phalacrocorax fuscicollis,,9,
Charadrius dubius,,11,
Motacilla tschutschensis,,11,
Tringa stagnatilis,,27,
Motacilla alba,,12,
Anhinga melanogaster,,9,
Xenus cinereus,,27,
Sphaerotheca rolandae,,,28
Hylarana tytleri,,,35
Sphaerotheca breviceps,,,28
