species,Premonsoon,Postmonsoon,Monsoon
Scapholeberis kingi,2.909036301590542,0.28234692169909736,3.0353291396557993
Nettapus coromandelianus,0.0,0.0,
Felis chaus,0.0,0.0,0.0
Centropus bengalensis,0.0,0.0,0.0
Himantopus himantopus,0.0,0.0,0.0
Euphlyctis cyanophlyctis,9.121309924652534,5.529138159999945,9.013783208695955
Mastacembelus armatus,3.1587105430407463,3.3470288843619516,3.1587105430407463
Anas poecilorhyncha,0.0,0.0,
Alona pulchella,2.8662099862481223,0.2795252902362472,2.989735145741471
Asplanchna brightwelli,2.8662099862481223,0.2795252902362472,2.989735145741471
Glossogobius giuris,3.452889979521221,3.3470288843619516,3.452889979521221
Polypedates maculatus,8.402714093104178,5.133922108316945,8.372415274824936
Aquarius adelaides,38.58250791326973,36.672449377091866,37.274317692856094
Naja naja,0.0,0.0,0.0
Hirundo rustica,0.0,0.0,0.0
Macrobrachium rosenbergii,8.790342346641747,14.388608234726115,7.566041518353533
Nycticorax nycticorax,0.0,0.0,0.0
Ardea alba,0.0,0.0,0.0
Oreochromis niloticus,3.452889979521221,3.3470288843619516,3.452889979521221
Macrobrachium equidens,8.790342346641747,14.388608234726115,7.566041518353533
Bungarus fasciatus,1.862948333431435,,1.9179742670451585
Mesocyclops leukarti,2.909036301590542,0.28234692169909736,3.0353291396557993
Gallinula chloropus,0.0,0.0,
Notopterus notopterus,3.1587105430407463,3.3470288843619516,3.1587105430407463
Limnogonus fossarum,38.58250791326973,36.672449377091866,37.274317692856094
Varanus bengalensis,0.0,0.0,0.0
Melanoides tuberculata,11.024272346756103,12.863351352042264,10.504691868887775
Xenentodon cancila,3.1587105430407463,3.1387647125396088,3.1587105430407463
Racesina luteola,11.024272346756103,12.863351352042264,10.504691868887775
Gyraulus euphraticus,10.411791334623913,12.733212329947037,9.824610345950733
Indoplanorbis exustus,9.774929927619509,11.567596986665682,9.2562679528623
Radix rufescens,11.024272346756103,12.863351352042264,10.504691868887775
Macrobrachium rude,8.790342346641747,14.388608234726115,7.566041518353533
Amaurornis phoenicurus,0.0,0.0,0.0
Big fish juveniles,20.833910203385738,17.735800598349023,21.714983355555827
Trichogaster lalius,20.833910203385738,17.735800598349023,21.714983355555827
Idiopoma dissimilis,0.0,0.0,0.0
Aplocheilus panchax,20.313112148915238,17.52384591838216,21.17802398167795
Hydrovatus confertus,37.72599328470662,36.369605814280526,36.19475091826213
Channa gachua,3.1587105430407463,3.1387647125396088,3.1587105430407463
Ardea intermedia,0.0,0.0,0.0
Merops orientalis,0.0,0.0,0.0
Ranatra varipes,37.59945706581211,35.685436390078834,36.29126684539847
Dendrocygna javanica,0.0,0.0,0.0
Mycteria leucocephala,0.0,0.0,0.0
Spilornis cheela,0.0,0.0,0.0
Green Algae,10.911823521231565,14.783902257081886,11.35721290686881
Heteropneustes fossilis,3.1587105430407463,3.1387647125396088,3.1587105430407463
Brachionus forficula,3.2954786546726025,0.3272356097915387,3.5692049351645583
Laccotrephes griseus,38.58250791326973,36.672449377091866,37.274317692856094
Channa punctata,1.7207471223783637,1.5831399954730643,1.7207471223783637
Porphyrio poliocephalus,0.0,0.0,0.0
Diplonychus annulatus,36.616698445122445,34.6985942848157,35.30850822470882
Ranatra elongata,37.59945706581211,35.68543639007885,36.29126684539847
Pila globosa,11.024272346756103,12.863351352042264,10.504691868887775
Filopaludina bengalensis,11.024272346756103,12.863351352042264,10.504691868887775
Bithynia pulchella,11.024272346756103,12.863351352042264,10.504691868887775
Microcarbo niger,0.0,0.0,0.0
Alcedo atthis,0.0,0.0,0.0
Detritus,5.955584619630753,1.9226514985533796,6.494511682678328
Ceryle rudis,0.0,0.0,0.0
Channa striata,2.5778899795212205,2.458139995473063,2.5778899795212205
Bubulcus ibis,0.0,0.0,0.0
Gyraulus convexiusculus,10.411791334623913,12.733212329947037,9.824610345950733
Tarebia lineata,11.024272346756103,12.863351352042264,10.504691868887775
Mystus vittatus,3.452889979521221,3.3470288843619516,3.452889979521221
Gyraulus barrackporensis,10.411791334623913,12.733212329947037,9.824610345950733
Arcella discoides,2.8662099862481223,0.2795252902362472,2.989735145741471
Tachybaptus ruficollis,0.0,0.0,0.0
Metopidius indicus,0.0,0.0,0.0
Anastomus oscitans,0.0,0.0,0.0
Mosquito larvae,0.09282953712811387,0.0185922657812301,0.20657558776645177
Hoplobatrachus crassus,8.363860101661185,,8.28076776374901
Herbaceous aquatic plants,18.138573166400683,15.758065833110747,12.538146253465607
Gabbia orcula,11.024272346756103,12.863351352042264,10.504691868887775
Macrothrix goeldi,2.8662099862481223,0.2795252902362472,2.989735145741471
Carp sp.,0.0,0.0,0.0
Halcyon smyrnensis,0.0,0.0,0.0
Anisops campbelli,38.58250791326973,36.672449377091866,37.274317692856094
