species,Premonsoon,Postmonsoon,Monsoon
Scapholeberis kingi,0.8842975206611571,0.9047619047619048,0.8861788617886179
Nettapus coromandelianus,1.0,1.0,
Felis chaus,1.0,1.0,1.0
Centropus bengalensis,1.0,1.0,1.0
Himantopus himantopus,1.0,1.0,1.0
Euphlyctis cyanophlyctis,0.8347107438016529,0.8503401360544217,0.8455284552845529
Mastacembelus armatus,0.9504132231404959,0.9455782312925171,0.9512195121951219
Anas poecilorhyncha,1.0,1.0,
Alona pulchella,0.8925619834710744,0.9115646258503401,0.8943089430894309
Asplanchna brightwelli,0.8925619834710744,0.9115646258503401,0.8943089430894309
Glossogobius giuris,0.9421487603305785,0.9455782312925171,0.943089430894309
Polypedates maculatus,0.8264462809917356,0.8367346938775511,0.8373983739837398
Aquarius adelaides,0.5206611570247934,0.48299319727891155,0.5284552845528455
Naja naja,0.9917355371900827,0.9931972789115646,0.991869918699187
Hirundo rustica,1.0,1.0,1.0
Macrobrachium rosenbergii,0.859504132231405,0.8027210884353742,0.8699186991869918
Nycticorax nycticorax,1.0,1.0,1.0
Ardea alba,1.0,1.0,1.0
Oreochromis niloticus,0.9421487603305785,0.9455782312925171,0.943089430894309
Macrobrachium equidens,0.859504132231405,0.8027210884353742,0.8699186991869918
Bungarus fasciatus,0.9752066115702479,,0.975609756097561
Mesocyclops leukarti,0.8842975206611571,0.9047619047619048,0.8861788617886179
Gallinula chloropus,1.0,1.0,
Notopterus notopterus,0.9504132231404959,0.9455782312925171,0.9512195121951219
Limnogonus fossarum,0.5206611570247934,0.48299319727891155,0.5284552845528455
Varanus bengalensis,1.0,1.0,1.0
Melanoides tuberculata,0.8264462809917356,0.7551020408163265,0.8373983739837398
Xenentodon cancila,0.9504132231404959,0.9523809523809523,0.9512195121951219
Racesina luteola,0.8264462809917356,0.7551020408163265,0.8373983739837398
Gyraulus euphraticus,0.8347107438016529,0.7619047619047619,0.8455284552845529
Indoplanorbis exustus,0.8429752066115702,0.7687074829931972,0.8536585365853658
Radix rufescens,0.8264462809917356,0.7551020408163265,0.8373983739837398
Macrobrachium rude,0.859504132231405,0.8027210884353742,0.8699186991869918
Amaurornis phoenicurus,1.0,1.0,1.0
Big fish juveniles,0.7355371900826446,0.7210884353741497,0.7398373983739838
Trichogaster lalius,0.7355371900826446,0.7210884353741497,0.7398373983739838
Idiopoma dissimilis,1.0,1.0,1.0
Aplocheilus panchax,0.743801652892562,0.7278911564625851,0.7479674796747967
Hydrovatus confertus,0.5289256198347108,0.4897959183673469,0.5365853658536586
Channa gachua,0.9504132231404959,0.9523809523809523,0.9512195121951219
Ardea intermedia,1.0,1.0,1.0
Merops orientalis,1.0,1.0,1.0
Ranatra varipes,0.5289256198347108,0.4897959183673469,0.5365853658536586
Dendrocygna javanica,1.0,1.0,1.0
Mycteria leucocephala,1.0,1.0,1.0
Spilornis cheela,1.0,1.0,1.0
Green Algae,0.7851239669421488,0.8027210884353742,0.7804878048780488
Heteropneustes fossilis,0.9504132231404959,0.9523809523809523,0.9512195121951219
Brachionus forficula,0.8760330578512396,0.8979591836734694,0.8780487804878049
Laccotrephes griseus,0.5206611570247934,0.48299319727891155,0.5284552845528455
Channa punctata,0.9586776859504132,0.9591836734693877,0.959349593495935
Porphyrio poliocephalus,1.0,1.0,1.0
Diplonychus annulatus,0.5371900826446281,0.4965986394557823,0.5447154471544715
Ranatra elongata,0.5289256198347108,0.4897959183673469,0.5365853658536586
Pila globosa,0.8264462809917356,0.7551020408163265,0.8373983739837398
Filopaludina bengalensis,0.8264462809917356,0.7551020408163265,0.8373983739837398
Bithynia pulchella,0.8264462809917356,0.7551020408163265,0.8373983739837398
Microcarbo niger,1.0,1.0,1.0
Alcedo atthis,1.0,1.0,1.0
Detritus,0.7768595041322314,0.8095238095238095,0.7723577235772358
Ceryle rudis,1.0,1.0,1.0
Channa striata,0.9504132231404959,0.9523809523809523,0.9512195121951219
Bubulcus ibis,1.0,1.0,1.0
Gyraulus convexiusculus,0.8347107438016529,0.7619047619047619,0.8455284552845529
Tarebia lineata,0.8264462809917356,0.7551020408163265,0.8373983739837398
Mystus vittatus,0.9421487603305785,0.9455782312925171,0.943089430894309
Gyraulus barrackporensis,0.8347107438016529,0.7619047619047619,0.8455284552845529
Arcella discoides,0.8925619834710744,0.9115646258503401,0.8943089430894309
Tachybaptus ruficollis,1.0,1.0,1.0
Metopidius indicus,1.0,1.0,1.0
Anastomus oscitans,1.0,1.0,1.0
Mosquito larvae,0.9173553719008265,0.9319727891156463,0.9186991869918699
Hoplobatrachus crassus,0.8347107438016529,,0.8455284552845529
Herbaceous aquatic plants,0.743801652892562,0.7482993197278912,0.7723577235772358
Gabbia orcula,0.8264462809917356,0.7551020408163265,0.8373983739837398
Macrothrix goeldi,0.8925619834710744,0.9115646258503401,0.8943089430894309
Carp sp.,1.0,1.0,1.0
Halcyon smyrnensis,1.0,1.0,1.0
Anisops campbelli,0.5206611570247934,0.48299319727891155,0.5284552845528455
Rasbora daniconius,0.743801652892562,0.7278911564625851,0.7479674796747967
Hydrophasianus chirurgus,1.0,1.0,
Coronatella rectangula,0.8925619834710744,0.9115646258503401,0.8943089430894309
Oriolus kundoo,1.0,1.0,1.0
Macrothrix spinosa,0.8925619834710744,0.9115646258503401,0.8943089430894309
Motacilla citreola,1.0,1.0,1.0
Odonata sp.,0.9669421487603306,0.9523809523809523,0.959349593495935
Hoplobatrachus tigerinus,0.8429752066115702,0.8503401360544217,0.8536585365853658
Lecane bulla,0.8760330578512396,0.8979591836734694,0.8780487804878049
Duttaphrynus scaber,0.8512396694214877,,0.8617886178861789
Macrobrachium malcolmsonii,0.859504132231405,0.8027210884353742,0.8699186991869918
Fowlea piscator,0.9421487603305785,0.9591836734693877,0.943089430894309
Diplonychus rusticus,0.5289256198347108,0.4897959183673469,0.5365853658536586
Ardea purpurea,1.0,1.0,1.0
Mystus tengara,0.9421487603305785,0.9455782312925171,0.943089430894309
Egretta garzetta,1.0,1.0,1.0
Ranatra filiformis,0.5289256198347108,0.4897959183673469,0.5365853658536586
Lissemys punctata,1.0,1.0,1.0
Laccotrephes ruber,0.5206611570247934,0.48299319727891155,0.5284552845528455
Brachionus calyciflorus,0.8760330578512396,0.8979591836734694,0.8780487804878049
Lecane aculeata,0.8760330578512396,0.8979591836734694,0.8780487804878049
Netuma thalassina,0.9586776859504132,0.9591836734693877,0.959349593495935
Enhydris enhydris,0.9504132231404959,0.9659863945578231,0.9512195121951219
Puntius vittatus,0.743801652892562,0.7278911564625851,0.7479674796747967
