species,Premonsoon,Postmonsoon,Monsoon
Scapholeberis kingi,3.5329245849794244,3.414648133200054,3.5378494855943514
Nettapus coromandelianus,1.0,1.0,
Felis chaus,1.0,1.0,1.0
Centropus bengalensis,1.0,1.0,1.0
Himantopus himantopus,1.0,1.0,1.0
Euphlyctis cyanophlyctis,2.454401956222228,2.2547062904717854,2.4799310187992725
Mastacembelus armatus,2.5798319327731094,2.430260047281324,2.5798319327731094
Anas poecilorhyncha,1.0,1.0,
Alona pulchella,3.5186440095371,3.4109825718106768,3.5231146881157667
Asplanchna brightwelli,3.5186440095371,3.410982571810677,3.523114688115767
Glossogobius giuris,2.507352941176471,2.4302600472813234,2.507352941176471
Polypedates maculatus,2.328769085365861,2.1954749556737587,2.346134551022176
Aquarius adelaides,2.9176041801718267,2.546727106999504,3.0301791264880538
Naja naja,2.0,2.0,2.0
Hirundo rustica,1.0,1.0,1.0
Macrobrachium rosenbergii,3.0924385587760908,2.600438206830142,3.1586909461963164
Nycticorax nycticorax,1.0,1.0,1.0
Ardea alba,1.0,1.0,1.0
Oreochromis niloticus,2.507352941176471,2.4302600472813234,2.507352941176471
Macrobrachium equidens,3.092438558776091,2.600438206830142,3.158690946196316
Bungarus fasciatus,2.682241626292211,,2.6922290565710814
Mesocyclops leukarti,3.5329245849794244,3.414648133200054,3.5378494855943514
Gallinula chloropus,1.0,1.0,
Notopterus notopterus,2.5798319327731094,2.430260047281324,2.5798319327731094
Limnogonus fossarum,2.917604180171828,2.546727106999504,3.0301791264880555
Varanus bengalensis,1.0,1.0,1.0
Melanoides tuberculata,2.7646181832301515,2.3558395020620755,2.8047960539860197
Xenentodon cancila,2.5798319327731094,2.484042553191489,2.5798319327731094
Racesina luteola,2.7646181832301515,2.355839502062075,2.8047960539860175
Gyraulus euphraticus,2.801028572907778,2.36572393267491,2.8450358566853216
Indoplanorbis exustus,2.7620884049145116,2.335308615114728,2.8063623789964907
Radix rufescens,2.7646181832301515,2.355839502062075,2.8047960539860197
Macrobrachium rude,3.092438558776091,2.600438206830142,3.158690946196316
Amaurornis phoenicurus,1.0,1.0,1.0
Big fish juveniles,2.710644985378867,2.454871564254861,2.7215870548310623
Trichogaster lalius,2.710644985378866,2.4548715642548604,2.7215870548310623
Idiopoma dissimilis,2.0,2.0,2.0
Aplocheilus panchax,2.7328526411719576,2.4659659926513213,2.7441366502945344
Hydrovatus confertus,2.9334249418989287,2.5539208847231825,3.0479408355654334
Channa gachua,2.5798319327731094,2.484042553191489,2.5798319327731094
Ardea intermedia,1.0,1.0,1.0
Merops orientalis,1.0,1.0,1.0
Ranatra varipes,2.9006550276294543,2.533740094012496,3.0132299739456823
Dendrocygna javanica,1.0,1.0,1.0
Mycteria leucocephala,1.0,1.0,1.0
Spilornis cheela,1.0,1.0,1.0
Green Algae,4.077368305353078,3.8155349024980274,4.071723089352104
Heteropneustes fossilis,2.5798319327731094,2.484042553191489,2.5798319327731094
Brachionus forficula,3.579441179529208,3.4313075824486963,3.594529731644069
Laccotrephes griseus,2.917604180171828,2.546727106999505,3.0301791264880555
Channa punctata,2.2394957983193278,2.1941489361702122,2.2394957983193278
Porphyrio poliocephalus,1.0,1.0,1.0
Diplonychus annulatus,2.8834136483191104,2.5205821992756494,2.9959885946353375
Ranatra elongata,2.9006550276294547,2.5337400940124906,3.0132299739456823
Pila globosa,2.7646181832301515,2.355839502062075,2.8047960539860197
Filopaludina bengalensis,2.7646181832301515,2.355839502062075,2.8047960539860197
Bithynia pulchella,2.7646181832301515,2.355839502062075,2.8047960539860197
Microcarbo niger,1.0,1.0,1.0
Alcedo atthis,1.0,1.0,1.0
Detritus,3.6513456142191787,3.401234529533353,3.6795840395415214
Ceryle rudis,1.0,1.0,1.0
Channa striata,2.3823529411764706,2.3191489361702122,2.3823529411764706
Bubulcus ibis,1.0,1.0,1.0
Gyraulus convexiusculus,2.801028572907778,2.36572393267491,2.8450358566853216
Tarebia lineata,2.7646181832301515,2.3558395020620755,2.8047960539860197
Mystus vittatus,2.507352941176471,2.4302600472813234,2.507352941176471
Gyraulus barrackporensis,2.801028572907778,2.36572393267491,2.8450358566853216
